player,nation,pos,squad,comp,age,born,90s,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg
Rubén Blanco,ESP,GK,Marseille,Ligue 1,27,1995,5.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ludovic Blas,FRA,MF,Nantes,Ligue 1,24,1997,31.3,7,95,32,33.7,3.04,1.02,0.05,0.16,21.5,4.0,2,4,9.3,6.4,0.07,-2.3,-1.4
Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31,1991,26.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Miha Blažič,SVN,DF,Angers,Ligue 1,29,1993,22.0,2,8,4,50.0,0.36,0.18,0.25,0.5,10.0,1.0,0,0,1.6,1.6,0.2,0.4,0.4
Joaquín Blázquez,ARG,GK,Brest,Ligue 1,21,2001,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alexis Blin,FRA,MF,Lecce,Serie A,25,1996,26.4,1,22,4,18.2,0.83,0.15,0.05,0.25,12.9,0.0,0,0,2.8,2.8,0.13,-1.8,-1.8
Daley Blind,NED,DF,Bayern Munich,Bundesliga,32,1990,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,24.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Myron Boadu,NED,FW,Monaco,Ligue 1,21,2001,3.3,3,7,5,71.4,2.14,1.53,0.43,0.6,11.5,0.0,0,0,2.6,2.6,0.37,0.4,0.4
Jérôme Boateng,GER,DF,Lyon,Ligue 1,33,1988,4.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Kevin-Prince Boateng,GHA,MF,Hertha BSC,Bundesliga,35,1987,5.2,0,6,0,0.0,1.16,0.0,0.0,0.0,19.2,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
Antonin Bobichon,FRA,MF,Angers,Ligue 1,26,1995,0.2,0,1,1,100.0,5.0,5.0,0.0,0.0,31.2,1.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Jean-Paul Boëtius,NED,MF,Hertha BSC,Bundesliga,28,1994,11.7,0,5,3,60.0,0.43,0.26,0.0,0.0,20.6,0.0,0,0,0.5,0.5,0.11,-0.5,-0.5
Jeremie Boga,CIV,FW,Atalanta,Serie A,25,1997,8.7,2,13,3,23.1,1.5,0.35,0.15,0.67,20.2,2.0,0,0,1.9,1.9,0.14,0.1,0.1
Emil Bohinen,NOR,MF,Salernitana,Serie A,23,1999,9.2,0,4,0,0.0,0.43,0.0,0.0,0.0,25.9,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Quentin Boisgard,FRA,MF,Lorient,Ligue 1,25,1997,2.0,1,6,3,50.0,2.93,1.47,0.17,0.33,18.5,0.0,0,0,0.4,0.4,0.07,0.6,0.6
Willy Boly,CIV,DF,Nott'ham Forest,Premier League,31,1991,7.6,0,2,1,50.0,0.26,0.13,0.0,0.0,16.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Giacomo Bonaventura,ITA,MF,Fiorentina,Serie A,32,1989,21.2,5,49,14,28.6,2.31,0.66,0.1,0.36,19.6,2.0,0,0,4.3,4.3,0.09,0.7,0.7
Federico Bonazzoli,ITA,FW,Salernitana,Serie A,25,1997,12.4,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1.0,0,0,2.4,2.4,0.07,-0.4,-0.4
Warren Bondo,FRA,MF,Monza,Serie A,18,2003,0.7,0,1,0,0.0,1.5,0.0,0.0,0.0,21.2,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1
Theo Bongonda,COD,FW,Cádiz,La Liga,26,1995,21.5,4,42,14,33.3,1.95,0.65,0.07,0.21,21.1,2.0,1,1,5.2,4.4,0.1,-1.2,-1.4
Kevin Bonifazi,ITA,DF,Bologna,Serie A,26,1996,10.0,0,2,0,0.0,0.2,0.0,0.0,0.0,11.3,0.0,0,0,0.2,0.2,0.1,-0.2,-0.2
Leonardo Bonucci,ITA,DF,Juventus,Serie A,35,1987,9.8,1,4,1,25.0,0.41,0.1,0.25,1.0,12.0,0.0,0,1,1.1,0.3,0.07,-0.1,0.7
Neto Borges,BRA,DF,Clermont Foot,Ligue 1,25,1996,31.5,3,23,7,30.4,0.73,0.22,0.13,0.43,14.6,0.0,0,0,3.1,3.1,0.13,-0.1,-0.1
Yvandro Borges Sanches,LUX,FW,M'Gladbach,Bundesliga,18,2004,0.3,0,1,0,0.0,3.21,0.0,0.0,0.0,34.7,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1
Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,23,1999,21.4,1,4,3,75.0,0.19,0.14,0.25,0.33,11.3,0.0,0,0,0.4,0.4,0.1,0.6,0.6
Rafael Borré,COL,FW,Eint Frankfurt,Bundesliga,26,1995,12.0,2,24,7,29.2,2.0,0.58,0.04,0.14,13.1,0.0,1,1,4.1,3.3,0.14,-2.1,-2.3
Erik Botheim,NOR,FW,Salernitana,Serie A,22,2000,9.6,1,7,1,14.3,0.73,0.1,0.14,1.0,13.5,0.0,0,0,0.6,0.6,0.08,0.4,0.4
Sven Botman,NED,DF,Newcastle Utd,Premier League,22,2000,34.7,0,22,7,31.8,0.63,0.2,0.0,0.0,10.2,0.0,0,0,2.5,2.5,0.11,-2.5,-2.5
Kenji-Van Boto,MAD,DF,Auxerre,Ligue 1,26,1996,2.0,0,3,0,0.0,1.5,0.0,0.0,0.0,24.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Kouamé Botué,BFA,FW,Ajaccio,Ligue 1,19,2002,2.5,0,7,0,0.0,2.75,0.0,0.0,0.0,14.2,0.0,0,0,1.2,1.2,0.17,-1.2,-1.2
Badredine Bouanani,ALG,MF,Nice,Ligue 1,17,2004,9.6,0,24,10,41.7,2.5,1.04,0.0,0.0,21.1,1.0,0,0,1.7,1.7,0.07,-1.7,-1.7
Hicham Boudaoui,ALG,MF,Nice,Ligue 1,22,1999,20.8,1,21,9,42.9,1.01,0.43,0.05,0.11,23.8,0.0,0,0,0.9,0.9,0.04,0.1,0.1
Franci Bouebari,FRA,DF,Strasbourg,Ligue 1,18,2003,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Sofiane Boufal,MAR,FW,Angers,Ligue 1,28,1993,9.3,4,21,9,42.9,2.27,0.97,0.1,0.22,20.8,4.0,2,2,3.6,2.1,0.1,0.4,-0.1
Wassim Boullif,ESP,DF,Espanyol,La Liga,17,2005,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,23.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ismaëlben Boura,FRA,DF,Lens,Ligue 1,21,2000,1.0,0,2,1,50.0,1.94,0.97,0.0,0.0,28.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Mehdi Bourabia,MAR,MF,Spezia,Serie A,30,1991,30.8,1,33,5,15.2,1.07,0.16,0.03,0.2,24.3,1.0,0,0,2.1,2.1,0.06,-1.1,-1.1
Benjamin Bourigeaud,FRA,MF,Rennes,Ligue 1,28,1994,34.1,7,71,19,26.8,2.08,0.56,0.07,0.26,20.0,10.0,2,2,8.7,7.1,0.1,-1.7,-2.1
Edoardo Bove,ITA,MF,Roma,Serie A,20,2002,11.0,1,7,2,28.6,0.63,0.18,0.14,0.5,12.9,0.0,0,0,0.8,0.5,0.07,0.2,0.5
Jarrod Bowen,ENG,FW,West Ham,Premier League,25,1996,35.9,6,73,21,28.8,2.03,0.58,0.07,0.24,16.2,1.0,1,2,8.9,7.8,0.11,-2.9,-2.8
Lucas Boyé,ARG,FW,Elche,La Liga,26,1996,27.4,7,71,20,28.2,2.6,0.73,0.1,0.35,14.4,1.0,0,1,8.3,7.5,0.11,-1.3,-0.5
Jayden Braaf,NED,FW,Hellas Verona,Serie A,19,2002,3.2,0,9,3,33.3,2.82,0.94,0.0,0.0,16.8,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8
Domagoj Bradarić,CRO,DF,Salernitana,Serie A,22,1999,25.0,0,7,0,0.0,0.28,0.0,0.0,0.0,23.8,1.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Bilal Brahimi,ALG,FW,Nice,Ligue 1,22,2000,8.9,3,20,6,30.0,2.25,0.68,0.15,0.5,24.3,0.0,0,0,1.0,1.0,0.05,2.0,2.0
Martin Braithwaite,DEN,FW,Espanyol,La Liga,31,1991,27.3,10,58,25,43.1,2.13,0.92,0.17,0.4,16.0,4.0,0,0,9.2,9.2,0.16,0.8,0.8
Juan Brandáriz,ESP,DF,Almería,La Liga,23,1999,16.5,1,3,1,33.3,0.18,0.06,0.33,1.0,10.2,0.0,0,0,0.4,0.4,0.13,0.6,0.6
Julian Brandt,GER,MF,Dortmund,Bundesliga,26,1996,26.6,9,42,26,61.9,1.58,0.98,0.21,0.35,18.0,1.0,0,0,5.2,5.2,0.12,3.8,3.8
Darko Brašanac,SRB,MF,Osasuna,La Liga,30,1992,11.6,1,11,4,36.4,0.95,0.35,0.09,0.25,12.4,0.0,0,0,1.2,1.2,0.1,-0.2,-0.2
Lilian Brassier,FRA,DF,Brest,Ligue 1,22,1999,34.4,0,20,3,15.0,0.58,0.09,0.0,0.0,16.3,0.0,0,0,1.1,1.1,0.05,-1.1,-1.1
Claudio Bravo,CHI,GK,Betis,La Liga,39,1983,12.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,27,1995,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
James Bree,ENG,DF,Southampton,Premier League,24,1997,4.1,0,1,1,100.0,0.25,0.25,0.0,0.0,25.3,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Josip Brekalo,CRO,FW,Fiorentina,Serie A,24,1998,2.5,0,5,0,0.0,1.97,0.0,0.0,0.0,22.5,0.0,0,0,0.7,0.7,0.13,-0.7,-0.7
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,24,1998,3.0,0,2,1,50.0,0.66,0.33,0.0,0.0,20.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
