player,nation,pos,squad,comp,age,born,90s,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg
Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,36.9,6,39,13,33.3,1.06,0.35,0.15,0.46,22.6,0.0,0,0,3.5,3.5,0.09,2.5,2.5
Achraf Dari,MAR,DF,Brest,Ligue 1,23,1999,14.6,1,4,2,50.0,0.27,0.14,0.25,0.5,15.4,0.0,0,0,0.4,0.4,0.09,0.6,0.6
Vladimír Darida,CZE,MF,Hertha BSC,Bundesliga,31,1990,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Matteo Darmian,ITA,DF,Inter,Serie A,32,1989,22.5,1,7,1,14.3,0.31,0.04,0.14,1.0,20.5,0.0,0,0,1.0,1.0,0.14,0.0,0.0
Josh Dasilva,ENG,MF,Brentford,Premier League,23,1998,15.4,4,18,6,33.3,1.17,0.39,0.22,0.67,19.8,0.0,0,0,1.5,1.5,0.09,2.5,2.5
Jonathan David,CAN,FW,Lille,Ligue 1,22,2000,35.2,24,95,44,46.3,2.7,1.25,0.15,0.32,15.8,0.0,10,11,23.6,15.1,0.16,0.4,-1.1
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,21,2000,22.7,1,19,8,42.1,0.84,0.35,0.05,0.13,18.6,0.0,0,0,1.7,1.7,0.09,-0.7,-0.7
Ben Davies,WAL,DF,Tottenham,Premier League,29,1993,25.4,2,14,5,35.7,0.55,0.2,0.14,0.4,16.7,0.0,0,0,1.0,1.0,0.07,1.0,1.0
Tom Davies,ENG,MF,Everton,Premier League,24,1998,6.0,0,9,2,22.2,1.51,0.33,0.0,0.0,15.7,0.0,0,0,1.2,1.2,0.13,-1.2,-1.2
Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,27,1995,18.1,1,11,2,18.2,0.61,0.11,0.09,0.5,10.7,0.0,0,0,1.1,1.1,0.1,-0.1,-0.1
Craig Dawson,ENG,DF,West Ham,Premier League,32,1990,8.0,0,6,1,16.7,0.75,0.12,0.0,0.0,15.1,0.0,0,0,0.5,0.5,0.08,-0.5,-0.5
Craig Dawson,ENG,DF,Wolves,Premier League,32,1990,15.7,1,11,2,18.2,0.7,0.13,0.09,0.5,11.5,0.0,0,0,1.0,1.0,0.09,0.0,0.0
Kevin De Bruyne,BEL,MF,Manchester City,Premier League,31,1991,26.9,7,65,21,32.3,2.42,0.78,0.11,0.33,23.0,7.0,0,0,5.6,5.6,0.09,1.4,1.4
Charles De Ketelaere,BEL,FW,Milan,Serie A,21,2001,12.4,0,19,3,15.8,1.53,0.24,0.0,0.0,12.5,0.0,0,0,2.0,2.0,0.11,-2.0,-2.0
Manuel De Luca,ITA,FW,Sampdoria,Serie A,24,1998,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Tommaso De Nipoti,ITA,MF,Atalanta,Serie A,19,2003,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,21.4,2,21,5,23.8,0.98,0.23,0.1,0.4,24.5,1.0,0,0,1.6,1.6,0.07,0.4,0.4
Mattia De Sciglio,ITA,DF,Juventus,Serie A,29,1992,11.6,0,4,0,0.0,0.35,0.0,0.0,0.0,27.6,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,34,1988,7.5,1,5,3,60.0,0.67,0.4,0.2,0.33,12.0,0.0,0,0,0.6,0.6,0.13,0.4,0.4
Thibault De Smet,BEL,DF,Reims,Ligue 1,24,1998,19.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Koni De Winter,BEL,DF,Empoli,Serie A,20,2002,11.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Grégoire Defrel,MTQ,FW,Sassuolo,Serie A,31,1991,13.0,2,16,10,62.5,1.23,0.77,0.13,0.2,11.8,0.0,0,0,3.5,3.5,0.22,-1.5,-1.5
Duccio Degl'Innocenti,ITA,MF,Empoli,Serie A,19,2003,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Brecht Dejaegere,BEL,MF,Toulouse,Ligue 1,31,1991,20.1,4,23,7,30.4,1.14,0.35,0.17,0.57,14.6,0.0,0,0,2.6,2.6,0.11,1.4,1.4
Romain Del Castillo,FRA,MF,Brest,Ligue 1,26,1996,15.8,6,31,11,35.5,1.96,0.7,0.03,0.09,20.7,3.0,5,5,6.2,2.3,0.07,-0.2,-1.3
Alberto Del Moral,ESP,MF,Villarreal,La Liga,22,2000,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Thomas Delaine,FRA,DF,Strasbourg,Ligue 1,30,1992,11.9,0,6,4,66.7,0.51,0.34,0.0,0.0,18.7,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4
Thomas Delaney,DEN,MF,Sevilla,La Liga,30,1991,3.4,0,3,1,33.3,0.87,0.29,0.0,0.0,18.8,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2
Thomas Delaney,DEN,MF,Hoffenheim,Bundesliga,30,1991,3.3,0,1,0,0.0,0.3,0.0,0.0,0.0,20.0,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1
Sacha Delaye,FRA,GK,Montpellier,Ligue 1,20,2002,0.2,1,2,1,50.0,9.0,4.5,0.5,1.0,20.4,0.0,0,0,0.1,0.1,0.03,0.9,0.9
Fran Delgado,ESP,DF,Betis,La Liga,21,2001,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Andy Delort,ALG,FW,Nice,Ligue 1,30,1991,8.7,6,23,8,34.8,2.65,0.92,0.13,0.38,16.4,1.0,3,3,5.4,3.0,0.13,0.6,0.0
Andy Delort,ALG,FW,Nantes,Ligue 1,30,1991,5.2,0,18,10,55.6,3.45,1.92,0.0,0.0,16.1,2.0,0,0,2.5,2.5,0.14,-2.5,-2.5
Karamoko Dembele,SCO,MF,Brest,Ligue 1,19,2003,2.0,0,4,2,50.0,2.01,1.01,0.0,0.0,16.1,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Moussa Dembélé,FRA,FW,Lyon,Ligue 1,26,1996,9.7,3,28,13,46.4,2.87,1.33,0.11,0.23,13.3,0.0,0,0,3.8,3.8,0.14,-0.8,-0.8
Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,15.7,5,49,16,32.7,3.13,1.02,0.1,0.31,16.7,0.0,0,0,3.9,3.9,0.08,1.1,1.1
Siriki Dembélé,CIV,MF,Bournemouth,Premier League,25,1996,1.2,0,2,2,100.0,1.64,1.64,0.0,0.0,16.6,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
Siriki Dembélé,CIV,MF,Auxerre,Ligue 1,25,1996,4.1,0,5,2,40.0,1.21,0.48,0.0,0.0,21.4,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3
Merih Demiral,TUR,DF,Atalanta,Serie A,24,1998,17.1,1,6,1,16.7,0.35,0.06,0.17,1.0,13.7,0.0,0,0,0.7,0.7,0.12,0.3,0.3
Kerem Demirbay,GER,MF,Leverkusen,Bundesliga,29,1993,17.2,4,31,6,19.4,1.81,0.35,0.13,0.67,24.3,8.0,0,0,2.2,2.2,0.07,1.8,1.8
Ermedin Demirović,BIH,FW,Augsburg,Bundesliga,24,1998,26.3,8,63,23,36.5,2.4,0.87,0.11,0.3,15.2,0.0,1,1,7.5,6.8,0.11,0.5,0.2
Diego Demme,GER,MF,Napoli,Serie A,30,1991,1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,20,2001,7.7,1,5,1,20.0,0.65,0.13,0.2,1.0,13.0,0.0,0,0,0.6,0.6,0.12,0.4,0.4
Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27,1995,32.1,5,48,20,41.7,1.5,0.62,0.02,0.05,25.1,16.0,4,4,6.0,2.9,0.06,-1.0,-1.9
Leander Dendoncker,BEL,MF,Aston Villa,Premier League,27,1995,7.7,0,2,0,0.0,0.26,0.0,0.0,0.0,26.9,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1
Leander Dendoncker,BEL,MF,Wolves,Premier League,27,1995,2.4,0,3,2,66.7,1.26,0.84,0.0,0.0,16.7,0.0,0,0,0.7,0.7,0.22,-0.7,-0.7
Emmanuel Dennis,NGA,FW,Nott'ham Forest,Premier League,24,1997,8.0,2,21,7,33.3,2.62,0.87,0.1,0.29,13.2,2.0,0,0,1.9,1.9,0.09,0.1,0.1
Fabio Depaoli,ITA,DF,Hellas Verona,Serie A,25,1997,24.1,2,19,4,21.1,0.79,0.17,0.11,0.5,16.0,0.0,0,0,1.7,1.7,0.09,0.3,0.3
Fabio Depaoli,ITA,DF,Sampdoria,Serie A,25,1997,1.5,0,2,0,0.0,1.32,0.0,0.0,0.0,13.6,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2
Kastriot Dermaku,ALB,DF,Lecce,Serie A,30,1992,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Halil Dervişoğlu,TUR,MF,Brentford,Premier League,22,1999,0.1,0,1,0,0.0,11.25,0.0,0.0,0.0,31.9,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Rémy Descamps,FRA,GK,Nantes,Ligue 1,26,1996,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Mikkel Desler,DEN,DF,Toulouse,Ligue 1,27,1995,25.1,1,11,4,36.4,0.44,0.16,0.09,0.25,17.6,0.0,0,0,0.8,0.8,0.07,0.2,0.2
Cyriel Dessers,NGA,FW,Cremonese,Serie A,27,1994,17.6,6,49,12,24.5,2.78,0.68,0.12,0.5,13.6,0.0,0,1,7.1,6.4,0.13,-1.1,-0.4
Sergiño Dest,USA,DF,Milan,Serie A,21,2000,3.7,0,2,1,50.0,0.55,0.27,0.0,0.0,20.3,0.0,0,0,0.3,0.3,0.15,-0.3,-0.3
Mattia Destro,ITA,FW,Empoli,Serie A,31,1991,6.3,1,20,7,35.0,3.15,1.1,0.05,0.14,14.8,0.0,0,0,1.4,1.4,0.07,-0.4,-0.4
Gerard Deulofeu,ESP,FW,Udinese,Serie A,28,1994,13.5,2,44,12,27.3,3.27,0.89,0.05,0.17,17.4,10.0,0,0,5.1,5.1,0.11,-3.1,-3.1
Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,23,1998,25.6,2,26,6,23.1,1.01,0.23,0.08,0.33,21.3,0.0,0,0,2.4,2.4,0.09,-0.4,-0.4
Samuel Di Carmine,ITA,FW,Cremonese,Serie A,33,1988,0.3,0,1,0,0.0,3.21,0.0,0.0,0.0,11.0,0.0,0,0,0.1,0.1,0.09,-0.1,-0.1
Federico Di Francesco,ITA,FW,Lecce,Serie A,28,1994,22.6,2,39,16,41.0,1.73,0.71,0.05,0.13,17.4,1.0,0,0,3.3,3.3,0.08,-1.3,-1.3
Michele Di Gregorio,ITA,GK,Monza,Serie A,25,1997,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,28,1993,36.2,3,31,13,41.9,0.86,0.36,0.1,0.23,11.8,0.0,0,0,2.7,2.7,0.09,0.3,0.3
Ángel Di María,ARG,FW,Juventus,Serie A,34,1988,15.1,4,37,12,32.4,2.44,0.79,0.08,0.25,21.5,1.0,1,1,3.1,2.3,0.06,0.9,0.7
Boulaye Dia,SEN,FW,Salernitana,Serie A,25,1996,28.0,16,47,21,44.7,1.68,0.75,0.32,0.71,15.0,0.0,1,1,8.8,8.0,0.17,7.2,7.0
Moussa Diaby,FRA,FW,Leverkusen,Bundesliga,23,1999,30.0,9,79,34,43.0,2.63,1.13,0.11,0.26,17.8,0.0,0,1,11.0,10.3,0.13,-2.0,-1.3
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,27.2,3,21,7,33.3,0.77,0.26,0.14,0.43,10.9,0.0,0,0,2.7,2.7,0.13,0.3,0.3
Mamadou Diakhon,FRA,FW,Reims,Ligue 1,16,2005,0.2,0,1,0,0.0,4.29,0.0,0.0,0.0,18.9,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Bafodé Diakité,FRA,DF,Lille,Ligue 1,21,2001,29.5,3,19,6,31.6,0.64,0.2,0.16,0.5,11.4,0.0,0,0,1.7,1.7,0.09,1.3,1.3
Ibrahim Diakité,GUI,DF,Reims,Ligue 1,18,2003,1.5,0,1,1,100.0,0.69,0.69,0.0,0.0,7.5,0.0,0,0,0.2,0.2,0.2,-0.2,-0.2
Abdou Diallo,SEN,DF,RB Leipzig,Bundesliga,26,1996,5.3,1,4,1,25.0,0.75,0.19,0.25,1.0,8.0,0.0,0,0,0.4,0.4,0.1,0.6,0.6
Baila Diallo,FRA,DF,Clermont Foot,Ligue 1,21,2001,1.0,0,1,0,0.0,1.01,0.0,0.0,0.0,31.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27,1995,32.0,20,90,36,40.0,2.81,1.13,0.19,0.47,13.0,1.0,3,4,17.8,14.5,0.17,2.2,2.5
Ibrahima Diallo,FRA,MF,Southampton,Premier League,23,1999,9.1,0,6,0,0.0,0.66,0.0,0.0,0.0,28.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2
Ismael Diallo,CIV,DF,Ajaccio,Ligue 1,25,1997,24.2,0,3,0,0.0,0.12,0.0,0.0,0.0,17.5,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3
Mamady Diarra,MLI,MF,Cádiz,La Liga,22,2000,0.7,0,3,0,0.0,4.09,0.0,0.0,0.0,16.5,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Mouhamadou Diarra,SEN,MF,Strasbourg,Ligue 1,18,2004,18.1,3,23,9,39.1,1.27,0.5,0.13,0.33,20.1,0.0,0,0,1.8,1.8,0.08,1.2,1.2
Moussa Diarra,MLI,DF,Toulouse,Ligue 1,21,2000,13.6,0,1,0,0.0,0.07,0.0,0.0,0.0,6.4,0.0,0,0,0.2,0.2,0.16,-0.2,-0.2
Stéphane Diarra,FRA,FW,Lorient,Ligue 1,23,1998,11.8,2,20,8,40.0,1.69,0.68,0.1,0.25,16.2,0.0,0,0,2.2,2.2,0.11,-0.2,-0.2
Youba Diarra,MLI,MF,Cádiz,La Liga,24,1998,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Rúben Dias,POR,DF,Manchester City,Premier League,25,1997,22.2,0,10,2,20.0,0.45,0.09,0.0,0.0,9.1,0.0,0,0,1.3,1.3,0.13,-1.3,-1.3
Krépin Diatta,SEN,FW,Monaco,Ligue 1,23,1999,23.0,4,40,18,45.0,1.74,0.78,0.1,0.22,15.2,0.0,0,0,4.6,4.6,0.12,-0.6,-0.6
Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29,1993,37.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Brahim Díaz,ESP,FW,Milan,Serie A,22,1999,21.4,6,35,16,45.7,1.64,0.75,0.17,0.38,14.5,1.0,0,0,6.0,6.0,0.17,0.0,0.0
Luis Díaz,COL,FW,Liverpool,Premier League,25,1997,11.1,4,27,8,29.6,2.44,0.72,0.15,0.5,15.1,0.0,0,0,2.5,2.5,0.09,1.5,1.5
Justin Diehl,GER,FW,Köln,Bundesliga,17,2004,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Bamba Dieng,SEN,FW,Marseille,Ligue 1,22,2000,2.2,1,11,5,45.5,5.1,2.32,0.09,0.2,12.5,0.0,0,0,1.5,1.5,0.14,-0.5,-0.5
Bamba Dieng,SEN,FW,Lorient,Ligue 1,22,2000,8.3,3,21,7,33.3,2.53,0.84,0.1,0.29,16.0,0.0,1,1,4.9,4.1,0.23,-1.9,-2.1
Eric Dier,ENG,DF,Tottenham,Premier League,28,1994,31.3,2,17,4,23.5,0.54,0.13,0.12,0.5,11.8,2.0,0,0,1.6,1.6,0.1,0.4,0.4
Florian Dietz,GER,FW,Köln,Bundesliga,23,1998,4.4,1,17,6,35.3,3.87,1.37,0.06,0.17,11.9,0.0,0,0,2.5,2.5,0.15,-1.5,-1.5
Lucas Digne,FRA,DF,Aston Villa,Premier League,29,1993,16.7,1,8,3,37.5,0.48,0.18,0.13,0.33,20.5,4.0,0,0,0.4,0.4,0.05,0.6,0.6
Federico Dimarco,ITA,DF,Inter,Serie A,24,1997,23.0,4,49,15,30.6,2.13,0.65,0.08,0.27,20.7,7.0,0,0,3.1,3.1,0.06,0.9,0.9
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,28,1993,36.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Junior Dina Ebimbe,FRA,MF,Eint Frankfurt,Bundesliga,21,2000,11.8,3,26,10,38.5,2.2,0.85,0.12,0.3,14.6,0.0,0,0,3.7,3.7,0.14,-0.7,-0.7
Tristan Dingomé,CMR,MF,Troyes,Ligue 1,31,1991,1.1,0,3,1,33.3,2.73,0.91,0.0,0.0,21.7,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Eren Dinkçi,GER,FW,Werder Bremen,Bundesliga,20,2001,2.6,0,6,0,0.0,2.34,0.0,0.0,0.0,15.4,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21,2001,21.7,0,10,2,20.0,0.46,0.09,0.0,0.0,12.6,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8
Lois Diony,FRA,FW,Angers,Ligue 1,29,1992,5.6,1,12,3,25.0,2.13,0.53,0.08,0.33,14.5,0.0,0,0,2.2,2.2,0.18,-1.2,-1.2
Edan Diop,FRA,MF,Monaco,Ligue 1,17,2004,2.5,1,6,2,33.3,2.42,0.81,0.17,0.5,15.6,0.0,0,0,1.2,1.2,0.2,-0.2,-0.2
Issa Diop,FRA,DF,Fulham,Premier League,25,1997,22.4,1,3,2,66.7,0.13,0.09,0.33,0.5,12.3,0.0,0,0,0.3,0.3,0.09,0.7,0.7
Sofiane Diop,FRA,FW,Nice,Ligue 1,22,2000,13.6,1,28,9,32.1,2.05,0.66,0.04,0.11,20.0,1.0,0,0,2.6,2.6,0.09,-1.6,-1.6
Sofiane Diop,FRA,MF,Monaco,Ligue 1,22,2000,0.7,1,2,1,50.0,2.77,1.38,0.5,1.0,10.5,0.0,0,0,1.0,1.0,0.5,0.0,0.0
Yehvann Diouf,FRA,GK,Reims,Ligue 1,22,1999,31.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,37.0,3,28,9,32.1,0.76,0.24,0.11,0.33,15.4,0.0,0,1,3.8,3.0,0.11,-0.8,0.0
Malcom Abdulai Ares Djalo,ESP,DF,Athletic Club,La Liga,20,2001,0.9,0,3,0,0.0,3.21,0.0,0.0,0.0,21.3,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1
Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,22.4,2,15,4,26.7,0.67,0.18,0.13,0.5,12.7,0.0,0,0,1.3,1.3,0.08,0.7,0.7
Djené,TOG,DF,Getafe,La Liga,30,1991,31.6,0,9,1,11.1,0.29,0.03,0.0,0.0,15.3,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6
Moussa Djenepo,MLI,DF,Southampton,Premier League,24,1998,7.9,0,3,2,66.7,0.38,0.25,0.0,0.0,13.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2
Koffi Djidji,CIV,DF,Torino,Serie A,29,1992,26.9,1,8,4,50.0,0.3,0.15,0.13,0.25,12.2,0.0,0,0,0.9,0.9,0.12,0.1,0.1
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,27,1994,29.7,1,17,5,29.4,0.57,0.17,0.06,0.2,14.4,1.0,0,0,1.4,1.4,0.08,-0.4,-0.4
Berat Djimsiti,ALB,DF,Atalanta,Serie A,29,1993,20.0,0,5,0,0.0,0.25,0.0,0.0,0.0,7.6,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6
Moussa Djitte,SEN,FW,Ajaccio,Ligue 1,22,1999,1.5,0,2,0,0.0,1.32,0.0,0.0,0.0,23.3,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Ouparine Djoco,SEN,GK,Clermont Foot,Ligue 1,24,1998,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,1992,14.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Alan Do Marcolino,GAB,FW,Rennes,Ligue 1,20,2002,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ben Doak,SCO,FW,Liverpool,Premier League,16,2005,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Ritsu Doan,JPN,MF,Freiburg,Bundesliga,24,1998,26.9,5,57,27,47.4,2.12,1.0,0.09,0.19,17.3,0.0,0,0,7.0,7.0,0.12,-2.0,-2.0
Dodô,BRA,DF,Fiorentina,Serie A,23,1998,25.9,1,11,4,36.4,0.42,0.15,0.09,0.25,20.5,0.0,0,0,0.7,0.7,0.06,0.3,0.3
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,1998,24.6,5,17,9,52.9,0.69,0.37,0.29,0.56,11.6,0.0,0,0,1.9,1.9,0.11,3.1,3.1
Matt Doherty,IRL,DF,Tottenham,Premier League,30,1992,7.4,1,10,2,20.0,1.35,0.27,0.1,0.5,12.1,0.0,0,0,0.8,0.8,0.08,0.2,0.2
Matt Doherty,IRL,DF,Atlético Madrid,La Liga,30,1992,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Josh Doig,SCO,DF,Hellas Verona,Serie A,20,2002,15.0,2,18,6,33.3,1.2,0.4,0.11,0.33,16.1,0.0,0,0,1.8,1.8,0.1,0.2,0.2
Jeremy Doku,BEL,FW,Rennes,Ligue 1,20,2002,14.3,6,26,12,46.2,1.81,0.84,0.23,0.5,15.7,0.0,0,0,2.7,2.7,0.1,3.3,3.3
Kasper Dolberg,DEN,FW,Sevilla,La Liga,24,1997,2.2,0,2,1,50.0,0.91,0.46,0.0,0.0,17.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0
Kasper Dolberg,DEN,FW,Hoffenheim,Bundesliga,24,1997,4.5,1,7,3,42.9,1.57,0.67,0.14,0.33,16.7,0.0,0,0,0.5,0.5,0.07,0.5,0.5
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,21,2001,1.2,0,1,1,100.0,0.83,0.83,0.0,0.0,21.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Nicolás Domínguez,ARG,MF,Bologna,Serie A,24,1998,25.5,3,42,17,40.5,1.64,0.67,0.07,0.18,22.5,0.0,0,0,2.6,2.6,0.06,0.4,0.4
John Donald,ESP,DF,Elche,La Liga,21,2000,12.1,0,2,0,0.0,0.16,0.0,0.0,0.0,11.1,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Giulio Donati,ITA,DF,Monza,Serie A,32,1990,4.7,1,2,1,50.0,0.43,0.21,0.5,1.0,19.2,0.0,0,0,0.4,0.4,0.2,0.6,0.6
Kyliane Dong,FRA,MF,Troyes,Ligue 1,17,2004,2.4,0,2,0,0.0,0.85,0.0,0.0,0.0,20.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jordan Dongmo,CMR,MF,Troyes,Ligue 1,21,2001,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,37.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,24,1998,5.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,24,1997,37.9,3,32,9,28.1,0.84,0.24,0.09,0.33,11.9,0.0,0,0,5.1,5.1,0.16,-2.1,-2.1
Jodel Dossou,BEN,GK,Clermont Foot,Ligue 1,30,1992,2.9,1,6,3,50.0,2.09,1.05,0.17,0.33,16.7,0.0,0,0,0.4,0.4,0.07,0.6,0.6
Lohann Doucet,FRA,MF,Nantes,Ligue 1,19,2002,1.0,0,1,1,100.0,0.99,0.99,0.0,0.0,16.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,29,1993,17.0,5,20,8,40.0,1.17,0.47,0.25,0.63,13.2,0.0,0,0,2.4,2.4,0.12,2.6,2.6
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,22,2000,30.8,0,36,7,19.4,1.17,0.23,0.0,0.0,24.6,0.0,0,0,1.4,1.4,0.04,-1.4,-1.4
Ckene Doucouré,COM,MF,Lorient,Ligue 1,20,2002,1.5,0,7,1,14.3,4.63,0.66,0.0,0.0,13.5,0.0,0,0,0.7,0.7,0.11,-0.7,-0.7
Désiré Doué,FRA,MF,Rennes,Ligue 1,17,2005,12.4,3,21,6,28.6,1.7,0.48,0.14,0.5,21.0,0.0,0,0,1.6,1.6,0.07,1.4,1.4
Guela Doué,FRA,GK,Rennes,Ligue 1,19,2002,0.1,0,1,0,0.0,7.5,0.0,0.0,0.0,31.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0
Ismaël Doukouré,FRA,DF,Strasbourg,Ligue 1,19,2003,25.5,1,9,2,22.2,0.35,0.08,0.11,0.5,25.4,0.0,0,0,0.3,0.3,0.03,0.7,0.7
Kamory Doumbia,MLI,MF,Reims,Ligue 1,19,2003,12.8,2,25,9,36.0,1.95,0.7,0.04,0.11,19.8,0.0,1,1,3.7,2.9,0.12,-1.7,-1.9
Souleyman Doumbia,CIV,DF,Angers,Ligue 1,25,1996,19.9,0,7,2,28.6,0.35,0.1,0.0,0.0,16.0,0.0,0,0,1.0,1.0,0.14,-1.0,-1.0
Flynn Downes,ENG,MF,West Ham,Premier League,23,1999,8.5,0,4,1,25.0,0.47,0.12,0.0,0.0,14.6,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4
