player,nation,pos,squad,comp,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,pkatt,pka,pksv,pkm,pk_save%
Antonio Gomis,ESP,GK,Atlético Madrid,La Liga,19,2003,1,0,6,0.1,1.0,15.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivo Grbić,TUR,GK,Atlético Madrid,La Liga,26,1996,12,10,922,10.2,12.0,1.17,48.0,36.0,81.3,6,3.0,1.0,2.0,20.0,3.0,3.0,0.0,0.0,0.0
Dominik Greif,ESP,GK,Mallorca,La Liga,25,1997,1,1,90,1.0,3.0,3.0,8.0,5.0,62.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lennart Grill,ENG,GK,Union Berlin,Bundesliga,23,1999,5,5,450,5.0,11.0,2.2,25.0,14.0,64.0,2,1.0,2.0,2.0,40.0,2.0,2.0,0.0,0.0,0.0
Vicente Guaita,ESP,GK,Crystal Palace,Premier League,35,1987,27,27,2430,27.0,34.0,1.26,116.0,84.0,72.4,7,9.0,11.0,6.0,22.2,2.0,2.0,0.0,0.0,0.0
Péter Gulácsi,ESP,GK,RB Leipzig,Bundesliga,32,1990,6,6,540,6.0,10.0,1.67,26.0,17.0,65.4,2,2.0,2.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0
Samir Handanović,FRA,GK,Inter,Serie A,38,1984,14,14,1234,13.7,18.0,1.31,52.0,35.0,67.3,9,0.0,5.0,4.0,28.6,1.0,1.0,0.0,0.0,0.0
Dean Henderson,GER,GK,Nott'ham Forest,Premier League,25,1997,18,18,1620,18.0,31.0,1.72,85.0,52.0,65.9,5,5.0,8.0,6.0,33.3,5.0,2.0,2.0,1.0,50.0
Wayne Hennessey,BRA,GK,Nott'ham Forest,Premier League,35,1987,4,3,271,3.0,5.0,1.66,14.0,9.0,64.3,0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0
Sergio Herrera,GAB,GK,Osasuna,La Liga,29,1993,17,17,1530,17.0,23.0,1.35,71.0,48.0,69.0,5,3.0,9.0,3.0,17.6,4.0,1.0,1.0,2.0,50.0
Lukáš Hrádecký,ENG,GK,Leverkusen,Bundesliga,32,1989,33,33,2969,33.0,47.0,1.42,142.0,97.0,71.8,14,8.0,11.0,9.0,27.3,7.0,7.0,0.0,0.0,0.0
Daniel Iversen,POR,GK,Leicester City,Premier League,25,1997,12,12,1080,12.0,22.0,1.83,59.0,38.0,66.1,2,4.0,6.0,1.0,8.3,2.0,2.0,0.0,0.0,0.0
Jan Jakob Olschowsky,PAR,GK,M'Gladbach,Bundesliga,20,2001,4,4,360,4.0,11.0,2.75,31.0,20.0,67.7,1,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Sam Johnstone,ESP,GK,Crystal Palace,Premier League,29,1993,9,9,810,9.0,10.0,1.11,34.0,25.0,76.5,4,3.0,2.0,3.0,33.3,2.0,2.0,0.0,0.0,0.0
Filip Jörgensen,GLP,GK,Villarreal,La Liga,20,2002,2,2,180,2.0,3.0,1.5,6.0,3.0,50.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bingourou Kamara,COL,GK,Montpellier,Ligue 1,25,1996,5,4,408,4.5,11.0,2.43,25.0,13.0,60.0,0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,50.0
Caoimhín Kelleher,ESP,GK,Liverpool,Premier League,23,1998,1,1,90,1.0,4.0,4.0,10.0,6.0,60.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregor Kobel,URU,GK,Dortmund,Bundesliga,24,1997,27,27,2430,27.0,32.0,1.19,119.0,88.0,73.9,19,3.0,5.0,11.0,40.7,1.0,1.0,0.0,0.0,0.0
Tomáš Koubek,ARG,GK,Augsburg,Bundesliga,29,1992,11,11,990,11.0,22.0,2.0,65.0,45.0,66.2,1,4.0,6.0,1.0,9.1,0.0,0.0,0.0,0.0,0.0
Alban Lafont,URU,GK,Nantes,Ligue 1,23,1999,37,37,3329,37.0,54.0,1.46,179.0,129.0,74.9,7,14.0,16.0,11.0,29.7,9.0,9.0,0.0,0.0,0.0
Jean-Louis Leca,ESP,GK,Lens,Ligue 1,36,1985,1,1,90,1.0,1.0,1.0,4.0,3.0,75.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Lecomte,FRA,GK,Espanyol,La Liga,31,1991,10,10,899,10.0,14.0,1.4,40.0,27.0,65.0,1,5.0,4.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
Benjamin Lecomte,MAR,GK,Montpellier,Ligue 1,31,1991,19,19,1710,19.0,22.0,1.16,96.0,72.0,79.2,10,3.0,6.0,8.0,42.1,4.0,2.0,2.0,0.0,50.0
Jeremías Ledesma,GHA,GK,Cádiz,La Liga,29,1993,34,34,3060,34.0,48.0,1.41,179.0,130.0,77.7,9,11.0,14.0,12.0,35.3,9.0,8.0,1.0,0.0,11.1
Bernd Leno,SEN,GK,Fulham,Premier League,30,1992,36,36,3240,36.0,51.0,1.42,192.0,142.0,77.1,15,5.0,16.0,8.0,22.2,8.0,7.0,1.0,0.0,12.5
Donovan Léon,FRA,GK,Auxerre,Ligue 1,29,1992,2,2,180,2.0,2.0,1.0,11.0,9.0,90.9,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Benjamin Leroy,CZE,GK,Ajaccio,Ligue 1,33,1989,32,32,2798,31.1,60.0,1.93,133.0,74.0,60.9,6,4.0,22.0,4.0,12.5,9.0,8.0,0.0,1.0,0.0
Alexandre Letellier,FRA,GK,Paris S-G,Ligue 1,31,1990,1,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mateusz Lis,ARG,GK,Troyes,Ligue 1,25,1997,9,8,751,8.3,16.0,1.92,51.0,34.0,72.5,1,3.0,4.0,1.0,12.5,3.0,2.0,1.0,0.0,33.3
Hugo Lloris,ARG,GK,Tottenham,Premier League,35,1986,25,25,2205,24.5,39.0,1.59,117.0,79.0,67.5,13,3.0,9.0,7.0,28.0,1.0,1.0,0.0,0.0,0.0
Anthony Lopes,GER,GK,Lyon,Ligue 1,31,1990,32,32,2816,31.3,39.0,1.25,131.0,94.0,75.6,16,4.0,12.0,7.0,21.9,7.0,7.0,0.0,0.0,0.0
Diego López,ENG,GK,Rayo Vallecano,La Liga,40,1981,2,1,96,1.1,4.0,3.75,5.0,1.0,20.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pau López,WAL,GK,Marseille,Ligue 1,27,1994,33,32,2925,32.5,34.0,1.05,123.0,90.0,76.4,21,4.0,7.0,10.0,31.3,5.0,5.0,0.0,0.0,0.0
Andriy Lunin,MAR,GK,Real Madrid,La Liga,23,1999,7,7,630,7.0,7.0,1.0,18.0,12.0,61.1,4,1.0,2.0,3.0,42.9,0.0,0.0,0.0,0.0,0.0
Andrey Lunyov,MAR,GK,Leverkusen,Bundesliga,30,1991,1,1,90,1.0,2.0,2.0,4.0,2.0,50.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Maignan,DEN,GK,Milan,Serie A,27,1995,22,22,1978,22.0,21.0,0.96,62.0,40.0,69.4,11,7.0,4.0,8.0,36.4,3.0,2.0,1.0,0.0,33.3
Giorgi Mamardashvili,SCO,GK,Valencia,La Liga,21,2000,38,38,3420,38.0,45.0,1.18,148.0,105.0,70.9,11,9.0,18.0,7.0,18.4,5.0,2.0,0.0,3.0,0.0
