player,nation,pos,squad,comp,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,pkatt,pka,pksv,pkm,pk_save%
Martin Turk,GER,GK,Sampdoria,Serie A,18,2003,4,4,360,4.0,9.0,2.25,30.0,21.0,73.3,1,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
Samir Ujkani,ITA,GK,Empoli,Serie A,34,1988,1,0,7,0.1,1.0,12.86,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sven Ulreich,ESP,GK,Bayern Munich,Bundesliga,33,1988,3,3,270,3.0,2.0,0.67,8.0,5.0,75.0,3,0.0,0.0,2.0,66.7,1.0,0.0,1.0,0.0,100.0
Guglielmo Vicario,FRA,GK,Empoli,Serie A,25,1996,31,31,2783,30.9,39.0,1.26,134.0,95.0,73.9,9,12.0,10.0,7.0,22.6,6.0,4.0,1.0,1.0,20.0
Iván Villar,CMR,GK,Celta Vigo,La Liga,25,1997,19,19,1710,19.0,24.0,1.26,62.0,38.0,66.1,6,5.0,8.0,4.0,21.1,4.0,3.0,0.0,1.0,0.0
Danny Ward,ESP,GK,Leicester City,Premier League,29,1993,26,26,2340,26.0,46.0,1.77,119.0,75.0,63.0,7,3.0,16.0,6.0,23.1,3.0,2.0,1.0,0.0,33.3
Axel Werner,ARG,GK,Elche,La Liga,26,1996,2,2,180,2.0,4.0,2.0,8.0,4.0,50.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Whitworth,ENG,GK,Crystal Palace,Premier League,18,2004,2,2,180,2.0,5.0,2.5,10.0,5.0,50.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Zentner,ALB,GK,Mainz 05,Bundesliga,27,1994,26,26,2340,26.0,39.0,1.5,109.0,69.0,67.0,9,8.0,9.0,7.0,26.9,5.0,3.0,1.0,1.0,25.0
Michael Zetterer,SEN,GK,Werder Bremen,Bundesliga,27,1995,2,1,152,1.7,3.0,1.78,14.0,11.0,78.6,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeroen Zoet,USA,GK,Spezia,Serie A,31,1991,5,4,334,3.7,4.0,1.08,13.0,9.0,76.9,0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Petar Zovko,CIV,GK,Spezia,Serie A,20,2002,1,0,74,0.8,2.0,2.43,3.0,1.0,33.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
