player,nation,pos,squad,comp,age,born,90s,sca,sca90,sca_passlive,sca_passdead,sca_to,sca_sh,sca_fld,sca_def,gca,gca90,gca_passlive,gca_passdead,gca_to,gca_sh,gca_fld,gca_def
Axel Disasi,FRA,DF,Monaco,Ligue 1,24,1998,37.0,26.0,0.7,22.0,1.0,0.0,2.0,0.0,1.0,6.0,0.16,5.0,0.0,0.0,1.0,0.0,0.0
Malcom Abdulai Ares Djalo,ESP,DF,Athletic Club,La Liga,20,2001,0.9,12.0,13.01,7.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiago Djaló,POR,DF,Lille,Ligue 1,22,2000,22.4,10.0,0.45,8.0,0.0,0.0,1.0,1.0,0.0,3.0,0.13,2.0,0.0,0.0,0.0,1.0,0.0
Djené,TOG,DF,Getafe,La Liga,30,1991,31.6,31.0,0.98,23.0,2.0,2.0,1.0,3.0,0.0,7.0,0.22,7.0,0.0,0.0,0.0,0.0,0.0
Moussa Djenepo,MLI,DF,Southampton,Premier League,24,1998,7.9,17.0,2.15,12.0,0.0,2.0,1.0,2.0,0.0,4.0,0.51,2.0,0.0,2.0,0.0,0.0,0.0
Koffi Djidji,CIV,DF,Torino,Serie A,29,1992,26.9,18.0,0.67,16.0,0.0,0.0,0.0,0.0,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,27,1994,29.7,24.0,0.81,22.0,1.0,0.0,1.0,0.0,0.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0
Berat Djimsiti,ALB,DF,Atalanta,Serie A,29,1993,20.0,10.0,0.5,8.0,0.0,0.0,1.0,1.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0
Moussa Djitte,SEN,FW,Ajaccio,Ligue 1,22,1999,1.5,2.0,1.31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ouparine Djoco,SEN,GK,Clermont Foot,Ligue 1,24,1998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Dmitrović,SRB,GK,Sevilla,La Liga,30,1992,14.1,4.0,0.28,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Do Marcolino,GAB,FW,Rennes,Ligue 1,20,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Doak,SCO,FW,Liverpool,Premier League,16,2005,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ritsu Doan,JPN,MF,Freiburg,Bundesliga,24,1998,26.9,72.0,2.68,45.0,1.0,10.0,5.0,9.0,2.0,10.0,0.37,6.0,0.0,1.0,0.0,3.0,0.0
Dodô,BRA,DF,Fiorentina,Serie A,23,1998,25.9,65.0,2.51,58.0,2.0,1.0,2.0,1.0,1.0,5.0,0.19,5.0,0.0,0.0,0.0,0.0,0.0
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24,1998,24.6,21.0,0.85,19.0,0.0,0.0,0.0,2.0,0.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0
Matt Doherty,IRL,DF,Tottenham,Premier League,30,1992,7.4,18.0,2.43,13.0,0.0,2.0,2.0,1.0,0.0,3.0,0.41,2.0,0.0,0.0,1.0,0.0,0.0
Matt Doherty,IRL,DF,Atlético Madrid,La Liga,30,1992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Doig,SCO,DF,Hellas Verona,Serie A,20,2002,15.0,35.0,2.32,23.0,6.0,3.0,1.0,2.0,0.0,7.0,0.46,5.0,0.0,1.0,0.0,1.0,0.0
Jeremy Doku,BEL,FW,Rennes,Ligue 1,20,2002,14.3,81.0,5.65,52.0,1.0,22.0,2.0,3.0,1.0,10.0,0.7,1.0,0.0,7.0,1.0,1.0,0.0
Kasper Dolberg,DEN,FW,Sevilla,La Liga,24,1997,2.2,1.0,0.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasper Dolberg,DEN,FW,Hoffenheim,Bundesliga,24,1997,4.5,8.0,1.79,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,21,2001,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Domínguez,ARG,MF,Bologna,Serie A,24,1998,25.5,71.0,2.78,61.0,2.0,3.0,1.0,3.0,1.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0
John Donald,ESP,DF,Elche,La Liga,21,2000,12.1,6.0,0.49,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Giulio Donati,ITA,DF,Monza,Serie A,32,1990,4.7,4.0,0.85,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyliane Dong,FRA,MF,Troyes,Ligue 1,17,2004,2.4,5.0,2.11,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.85,1.0,0.0,0.0,0.0,1.0,0.0
Jordan Dongmo,CMR,MF,Troyes,Ligue 1,21,2001,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,37.9,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,24,1998,5.4,8.0,1.49,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,24,1997,37.9,24.0,0.63,21.0,0.0,0.0,2.0,0.0,1.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0
Jodel Dossou,BEN,GK,Clermont Foot,Ligue 1,30,1992,2.9,5.0,1.74,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lohann Doucet,FRA,MF,Nantes,Ligue 1,19,2002,1.0,6.0,5.93,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,MLI,MF,Everton,Premier League,29,1993,17.0,45.0,2.65,38.0,0.0,3.0,2.0,0.0,2.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0
Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,22,2000,30.8,61.0,1.98,48.0,0.0,2.0,5.0,2.0,4.0,6.0,0.2,4.0,0.0,0.0,1.0,0.0,1.0
Ckene Doucouré,COM,MF,Lorient,Ligue 1,20,2002,1.5,12.0,7.88,10.0,0.0,0.0,1.0,1.0,0.0,2.0,1.31,1.0,0.0,0.0,0.0,1.0,0.0
Désiré Doué,FRA,MF,Rennes,Ligue 1,17,2005,12.4,35.0,2.82,23.0,3.0,3.0,1.0,3.0,2.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0
Guela Doué,FRA,GK,Rennes,Ligue 1,19,2002,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismaël Doukouré,FRA,DF,Strasbourg,Ligue 1,19,2003,25.5,20.0,0.78,17.0,0.0,1.0,1.0,1.0,0.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
Kamory Doumbia,MLI,MF,Reims,Ligue 1,19,2003,12.8,41.0,3.19,34.0,0.0,2.0,2.0,2.0,1.0,3.0,0.23,3.0,0.0,0.0,0.0,0.0,0.0
Souleyman Doumbia,CIV,DF,Angers,Ligue 1,25,1996,19.9,32.0,1.61,25.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flynn Downes,ENG,MF,West Ham,Premier League,23,1999,8.5,13.0,1.54,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kami Doyle,ENG,MF,Southampton,Premier League,16,2005,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bartłomiej Drągowski,POL,GK,Spezia,Serie A,24,1997,32.7,7.0,0.21,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
Cody Drameh,ENG,DF,Leeds United,Premier League,20,2001,0.8,1.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dion Drena Beljo,CRO,FW,Augsburg,Bundesliga,20,2002,12.5,25.0,1.99,20.0,0.0,0.0,3.0,1.0,1.0,5.0,0.4,3.0,0.0,0.0,2.0,0.0,0.0
Dominick Drexler,GER,MF,Schalke 04,Bundesliga,32,1990,15.2,46.0,3.03,34.0,6.0,2.0,1.0,2.0,1.0,5.0,0.33,4.0,0.0,1.0,0.0,0.0,0.0
Domingos Duarte,POR,DF,Getafe,La Liga,27,1995,29.5,15.0,0.51,13.0,0.0,0.0,2.0,0.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,33,1989,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marvin Ducksch,GER,FW,Werder Bremen,Bundesliga,28,1994,31.7,109.0,3.44,67.0,30.0,5.0,4.0,3.0,0.0,24.0,0.76,16.0,4.0,2.0,1.0,1.0,0.0
Ondrej Duda,SVK,MF,Hellas Verona,Serie A,27,1994,11.8,20.0,1.69,13.0,1.0,1.0,2.0,2.0,1.0,2.0,0.17,1.0,0.0,0.0,1.0,0.0,0.0
Ondrej Duda,SVK,MF,Köln,Bundesliga,27,1994,7.7,22.0,2.88,17.0,2.0,2.0,0.0,1.0,0.0,3.0,0.39,2.0,0.0,1.0,0.0,0.0,0.0
Shane Duffy,IRL,DF,Fulham,Premier League,30,1992,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rémy Dugimont,FRA,FW,Auxerre,Ligue 1,36,1986,1.3,5.0,3.95,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.79,1.0,0.0,0.0,0.0,0.0,0.0
Denzel Dumfries,NED,DF,Inter,Serie A,26,1996,24.6,71.0,2.88,48.0,4.0,1.0,9.0,8.0,1.0,11.0,0.45,6.0,0.0,0.0,2.0,3.0,0.0
Alfred Duncan,GHA,MF,Fiorentina,Serie A,29,1993,12.3,39.0,3.17,32.0,2.0,1.0,2.0,1.0,1.0,5.0,0.41,3.0,0.0,1.0,1.0,0.0,0.0
Lewis Dunk,ENG,DF,Brighton,Premier League,30,1991,36.0,32.0,0.89,31.0,0.0,0.0,1.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
Maxime Dupé,FRA,GK,Toulouse,Ligue 1,29,1993,38.0,2.0,0.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jhon Durán,COL,FW,Aston Villa,Premier League,18,2003,1.5,5.0,3.31,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Durán,ESP,FW,Celta Vigo,La Liga,21,2001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julien Duranville,BEL,MF,Dortmund,Bundesliga,16,2006,0.3,5.0,15.52,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0
Hugo Duro,ESP,FW,Valencia,La Liga,22,1999,15.4,22.0,1.43,17.0,0.0,2.0,0.0,3.0,0.0,2.0,0.13,1.0,0.0,0.0,0.0,1.0,0.0
Jean-Kevin Duverne,FRA,DF,Brest,Ligue 1,25,1997,27.9,48.0,1.72,32.0,4.0,5.0,0.0,7.0,0.0,4.0,0.14,0.0,0.0,0.0,0.0,4.0,0.0
Paulo Dybala,ARG,FW,Roma,Serie A,28,1993,19.3,104.0,5.38,48.0,29.0,4.0,10.0,13.0,0.0,8.0,0.41,4.0,2.0,0.0,1.0,1.0,0.0
Edin Džeko,BIH,FW,Inter,Serie A,36,1986,19.2,61.0,3.16,47.0,0.0,1.0,12.0,1.0,0.0,11.0,0.57,7.0,0.0,1.0,3.0,0.0,0.0
Malcolm Ebiowei,ENG,FW,Crystal Palace,Premier League,18,2003,0.4,1.0,2.65,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Festy Ebosele,IRL,DF,Udinese,Serie A,19,2002,4.6,11.0,2.41,8.0,0.0,2.0,0.0,0.0,1.0,2.0,0.44,2.0,0.0,0.0,0.0,0.0,0.0
Enzo Ebosse,CMR,DF,Udinese,Serie A,23,1999,10.3,8.0,0.78,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyronne Ebuehi,NGA,DF,Empoli,Serie A,26,1995,21.4,29.0,1.36,22.0,5.0,0.0,1.0,1.0,0.0,4.0,0.19,3.0,0.0,0.0,1.0,0.0,0.0
Ederson,BRA,GK,Manchester City,Premier League,28,1993,35.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Éderson,BRA,MF,Atalanta,Serie A,23,1999,24.6,55.0,2.23,37.0,1.0,7.0,7.0,1.0,2.0,5.0,0.2,3.0,0.0,1.0,0.0,1.0,0.0
Odsonne Édouard,FRA,FW,Crystal Palace,Premier League,24,1998,20.0,44.0,2.2,32.0,0.0,1.0,9.0,2.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0
Samuel Edozie,ENG,MF,Southampton,Premier League,19,2003,6.3,20.0,3.18,13.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maximilian Eggestein,GER,MF,Freiburg,Bundesliga,25,1996,27.2,50.0,1.84,44.0,0.0,1.0,1.0,3.0,1.0,5.0,0.18,4.0,0.0,0.0,0.0,1.0,0.0
Lilian Egloff,GER,MF,Stuttgart,Bundesliga,19,2002,2.7,10.0,3.75,8.0,0.0,0.0,1.0,1.0,0.0,2.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0
Íñigo Eguaras,ESP,MF,Almería,La Liga,30,1992,10.7,25.0,2.33,22.0,0.0,0.0,1.0,1.0,1.0,2.0,0.19,2.0,0.0,0.0,0.0,0.0,0.0
Kingsley Ehizibue,NED,DF,Udinese,Serie A,27,1995,17.1,31.0,1.82,22.0,2.0,0.0,5.0,1.0,1.0,3.0,0.18,2.0,0.0,0.0,0.0,1.0,0.0
Kingsley Ehizibue,NED,DF,Köln,Bundesliga,27,1995,0.7,1.0,1.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Eitschberger,GER,FW,Hertha BSC,Bundesliga,18,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chidera Ejuke,NGA,FW,Hertha BSC,Bundesliga,24,1998,9.9,41.0,4.16,28.0,0.0,9.0,1.0,2.0,1.0,5.0,0.51,5.0,0.0,0.0,0.0,0.0,0.0
Albin Ekdal,SWE,MF,Spezia,Serie A,33,1989,19.3,35.0,1.82,26.0,0.0,1.0,4.0,2.0,2.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Hugo Ekitike,FRA,FW,Paris S-G,Ligue 1,20,2002,12.8,33.0,2.57,25.0,0.0,3.0,2.0,3.0,0.0,7.0,0.55,6.0,0.0,1.0,0.0,0.0,0.0
Emmanuel Ekong,SWE,DF,Empoli,Serie A,20,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Elanga,SWE,FW,Manchester Utd,Premier League,20,2002,4.7,17.0,3.59,13.0,0.0,0.0,3.0,1.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0
Alberth Elis,HON,FW,Brest,Ligue 1,26,1996,2.9,12.0,4.2,6.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikael Ellertsson,ISL,GK,Spezia,Serie A,20,2002,1.9,5.0,2.65,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harvey Elliott,ENG,MF,Liverpool,Premier League,19,2003,17.9,75.0,4.19,62.0,1.0,5.0,5.0,1.0,1.0,10.0,0.56,10.0,0.0,0.0,0.0,0.0,0.0
Elif Elmas,MKD,MF,Napoli,Serie A,22,1999,18.1,57.0,3.15,41.0,6.0,6.0,2.0,2.0,0.0,10.0,0.55,7.0,1.0,1.0,1.0,0.0,0.0
Mohamed Elneny,EGY,MF,Arsenal,Premier League,30,1992,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aritz Elustondo,ESP,DF,Real Sociedad,La Liga,28,1994,16.1,9.0,0.56,5.0,2.0,0.0,2.0,0.0,0.0,2.0,0.12,0.0,1.0,0.0,1.0,0.0,0.0
Nico Elvedi,SUI,DF,M'Gladbach,Bundesliga,25,1996,31.4,17.0,0.54,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Ely,BRA,DF,Almería,La Liga,28,1993,35.1,21.0,0.6,14.0,1.0,1.0,5.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elyounoussi,NOR,MF,Southampton,Premier League,27,1994,24.1,41.0,1.7,34.0,0.0,1.0,2.0,3.0,1.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0
Adri Embarba,ESP,FW,Almería,La Liga,30,1992,16.4,62.0,3.79,29.0,19.0,7.0,2.0,4.0,1.0,9.0,0.55,3.0,2.0,1.0,2.0,1.0,0.0
Adri Embarba,ESP,FW,Espanyol,La Liga,30,1992,0.4,2.0,5.14,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breel Embolo,SUI,FW,Monaco,Ligue 1,25,1997,20.7,63.0,3.05,42.0,0.0,6.0,8.0,6.0,1.0,10.0,0.48,5.0,0.0,1.0,3.0,1.0,0.0
Emerson,BRA,DF,Tottenham,Premier League,23,1999,19.3,36.0,1.87,32.0,0.0,0.0,1.0,2.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0
Youssef En-Nesyri,MAR,FW,Sevilla,La Liga,25,1997,18.5,32.0,1.73,21.0,1.0,2.0,6.0,2.0,0.0,5.0,0.27,3.0,0.0,1.0,1.0,0.0,0.0
Wataru Endo,JPN,MF,Stuttgart,Bundesliga,29,1993,32.5,84.0,2.59,67.0,0.0,3.0,4.0,7.0,3.0,9.0,0.28,5.0,0.0,0.0,1.0,2.0,1.0
Arne Engels,BEL,MF,Augsburg,Bundesliga,18,2003,16.0,47.0,2.94,22.0,17.0,1.0,2.0,4.0,1.0,8.0,0.5,5.0,1.0,1.0,0.0,0.0,1.0
Christian Eriksen,DEN,MF,Manchester Utd,Premier League,30,1992,22.8,71.0,3.12,50.0,17.0,1.0,3.0,0.0,0.0,9.0,0.4,6.0,3.0,0.0,0.0,0.0,0.0
Martin Erlic,CRO,DF,Sassuolo,Serie A,24,1998,25.9,10.0,0.39,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tjark Ernst,GER,GK,Hertha BSC,Bundesliga,19,2003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Escalante,ARG,MF,Cremonese,Serie A,29,1993,6.2,10.0,1.62,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gonzalo Escalante,ARG,MF,Cádiz,La Liga,29,1993,12.5,25.0,2.01,22.0,0.0,2.0,1.0,0.0,0.0,3.0,0.24,1.0,0.0,1.0,1.0,0.0,0.0
Sergio Escudero,ESP,DF,Valladolid,La Liga,32,1989,16.0,35.0,2.19,20.0,7.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfonso Espino,URU,DF,Cádiz,La Liga,30,1992,34.7,70.0,2.02,59.0,6.0,1.0,0.0,2.0,2.0,7.0,0.2,5.0,1.0,1.0,0.0,0.0,0.0
Bernardo Espinosa,COL,DF,Girona,La Liga,33,1989,13.6,9.0,0.66,6.0,0.0,0.0,3.0,0.0,0.0,2.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0
Salvatore Esposito,ITA,MF,Spezia,Serie A,21,2000,10.8,28.0,2.6,13.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxime Estève,FRA,DF,Montpellier,Ligue 1,20,2002,18.3,7.0,0.38,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pervis Estupiñán,ECU,DF,Brighton,Premier League,24,1998,29.7,87.0,2.93,78.0,4.0,3.0,0.0,2.0,0.0,8.0,0.27,7.0,0.0,0.0,0.0,1.0,0.0
Jonny Evans,NIR,DF,Leicester City,Premier League,34,1988,11.7,4.0,0.34,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edu Expósito,ESP,MF,Espanyol,La Liga,25,1996,12.9,45.0,3.49,30.0,5.0,4.0,3.0,2.0,1.0,9.0,0.7,8.0,0.0,1.0,0.0,0.0,0.0
Eberechi Eze,ENG,MF,Crystal Palace,Premier League,24,1998,29.3,118.0,4.03,69.0,21.0,11.0,4.0,11.0,2.0,16.0,0.55,9.0,1.0,5.0,0.0,1.0,0.0
Kimberly Ezekwem,GER,DF,Freiburg,Bundesliga,21,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Ezequiel Fernández,ARG,DF,Elche,La Liga,22,2000,5.7,21.0,3.67,18.0,2.0,0.0,1.0,0.0,0.0,2.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0
Abdessamad Ezzalzouli,MAR,GK,Osasuna,La Liga,20,2001,16.7,58.0,3.47,27.0,5.0,18.0,4.0,3.0,1.0,4.0,0.24,4.0,0.0,0.0,0.0,0.0,0.0
Łukasz Fabiański,POL,GK,West Ham,Premier League,37,1985,34.6,2.0,0.06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabinho,BRA,MF,Liverpool,Premier League,28,1993,29.7,55.0,1.85,49.0,0.0,0.0,1.0,2.0,3.0,8.0,0.27,7.0,0.0,0.0,0.0,1.0,0.0
Fábio,BRA,MF,Nantes,Ligue 1,32,1990,2.5,10.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0
Noah Fadiga,SEN,DF,Brest,Ligue 1,22,1999,14.5,15.0,1.03,8.0,0.0,3.0,0.0,3.0,1.0,2.0,0.14,1.0,0.0,1.0,0.0,0.0,0.0
Wout Faes,BEL,DF,Leicester City,Premier League,24,1998,31.0,22.0,0.71,16.0,0.0,1.0,3.0,0.0,2.0,4.0,0.13,3.0,0.0,0.0,0.0,0.0,1.0
Wout Faes,BEL,DF,Reims,Ligue 1,24,1998,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,2.0,0.0,0.0,0.0,0.0,0.0
Nicolò Fagioli,ITA,MF,Juventus,Serie A,21,2001,16.9,39.0,2.31,25.0,4.0,1.0,4.0,5.0,0.0,7.0,0.41,4.0,1.0,0.0,0.0,2.0,0.0
Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,33,1988,11.4,4.0,0.35,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romain Faivre,FRA,MF,Lorient,Ligue 1,24,1998,13.8,45.0,3.25,27.0,1.0,10.0,3.0,4.0,0.0,9.0,0.65,5.0,0.0,4.0,0.0,0.0,0.0
Romain Faivre,FRA,MF,Lyon,Ligue 1,24,1998,3.3,13.0,3.87,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0
Radamel Falcao,COL,FW,Rayo Vallecano,La Liga,36,1986,6.8,10.0,1.46,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wladimiro Falcone,ITA,GK,Lecce,Serie A,27,1995,38.0,6.0,0.16,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fali,ESP,DF,Cádiz,La Liga,28,1993,19.0,11.0,0.58,9.0,1.0,0.0,0.0,1.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
Fallou Fall,SEN,DF,Reims,Ligue 1,18,2004,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mamadou Fall,SEN,DF,Villarreal,La Liga,19,2002,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davide Faraoni,ITA,DF,Hellas Verona,Serie A,30,1991,16.5,28.0,1.7,18.0,2.0,4.0,4.0,0.0,0.0,4.0,0.24,2.0,0.0,1.0,1.0,0.0,0.0
Ansu Fati,ESP,FW,Barcelona,La Liga,19,2002,15.5,50.0,3.23,35.0,1.0,8.0,5.0,0.0,1.0,7.0,0.45,4.0,0.0,1.0,2.0,0.0,0.0
Khalil Fayad,FRA,MF,Montpellier,Ligue 1,18,2004,8.0,19.0,2.38,15.0,2.0,1.0,1.0,0.0,0.0,5.0,0.63,4.0,0.0,0.0,1.0,0.0,0.0
Cheikh Faye,SEN,FW,Montpellier,Ligue 1,23,1999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Fazio,ARG,DF,Salernitana,Serie A,35,1987,11.9,12.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
