player,nation,pos,squad,comp,age,born,90s,sca,sca90,sca_passlive,sca_passdead,sca_to,sca_sh,sca_fld,sca_def,gca,gca90,gca_passlive,gca_passdead,gca_to,gca_sh,gca_fld,gca_def
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,27.0,2.22,23.0,3.0,0.0,1.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Felix Agu,GER,DF,Werder Bremen,Bundesliga,22,1999,0.5,4.0,7.2,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,76.0,3.62,56.0,13.0,3.0,0.0,4.0,0.0,4.0,0.19,2.0,2.0,0.0,0.0,0.0,0.0
Kevin Agudelo,COL,FW,Spezia,Serie A,23,1998,23.7,59.0,2.49,41.0,1.0,9.0,4.0,4.0,0.0,3.0,0.13,2.0,0.0,0.0,0.0,1.0,0.0
Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,14.0,0.79,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,18.0,1.38,14.0,1.0,0.0,1.0,1.0,1.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,FRA,MF,Crystal Palace,Premier League,20,2002,1.0,2.0,1.91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,15.5,38.0,2.45,31.0,0.0,3.0,2.0,1.0,1.0,7.0,0.45,7.0,0.0,0.0,0.0,0.0,0.0
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,28.0,1.94,21.0,1.0,0.0,1.0,2.0,3.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,10.0,0.29,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,27.0,2.77,21.0,2.0,3.0,0.0,1.0,0.0,3.0,0.31,2.0,0.0,1.0,0.0,0.0,0.0
Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,23.0,1.93,14.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,11.0,0.6,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,4.0,0.47,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,8.6,22.0,2.57,20.0,0.0,0.0,2.0,0.0,0.0,2.0,0.23,1.0,0.0,0.0,1.0,0.0,0.0
Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,28,1994,13.5,34.0,2.53,26.0,0.0,0.0,5.0,3.0,0.0,3.0,0.22,2.0,0.0,0.0,1.0,0.0,0.0
Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,23.0,0.91,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,24.0,1.15,20.0,1.0,0.0,2.0,0.0,1.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0
Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,36.0,1.41,29.0,1.0,1.0,3.0,0.0,2.0,3.0,0.12,2.0,0.0,1.0,0.0,0.0,0.0
Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,1.0,8.18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,20,2002,4.5,9.0,2.01,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Akouokou,CIV,MF,Betis,La Liga,24,1997,5.0,2.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Daniel Akpa-Akpro,CIV,MF,Empoli,Serie A,29,1992,15.1,28.0,1.86,18.0,0.0,3.0,2.0,2.0,3.0,5.0,0.33,3.0,0.0,1.0,1.0,0.0,0.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,17.0,0.79,14.0,0.0,3.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0
David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,27.0,1.32,23.0,3.0,0.0,1.0,0.0,0.0,4.0,0.2,3.0,0.0,0.0,1.0,0.0,0.0
Ángel Alarcón,ESP,MF,Barcelona,La Liga,18,2004,0.3,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,4.0,1.61,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Alario,ARG,FW,Eint Frankfurt,Bundesliga,29,1992,3.7,8.0,2.17,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.54,1.0,0.0,0.0,1.0,0.0,0.0
Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,59.0,3.74,52.0,5.0,1.0,1.0,0.0,0.0,6.0,0.38,5.0,1.0,0.0,0.0,0.0,0.0
Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,115.0,4.24,80.0,30.0,0.0,4.0,0.0,1.0,15.0,0.55,13.0,2.0,0.0,0.0,0.0,0.0
Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,12.0,0.51,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Albrighton,ENG,DF,Leicester City,Premier League,32,1989,2.6,7.0,2.66,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,41.0,2.94,33.0,0.0,3.0,1.0,1.0,3.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0
Carlos Alcaraz,ARG,MF,Southampton,Premier League,19,2002,11.4,22.0,1.92,14.0,0.0,2.0,3.0,2.0,1.0,4.0,0.35,3.0,0.0,0.0,1.0,0.0,0.0
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,22.7,47.0,2.07,34.0,9.0,1.0,1.0,2.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0
Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,22.7,24.0,1.06,22.0,0.0,0.0,2.0,0.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0
Iván Alejo,ESP,MF,Cádiz,La Liga,27,1995,14.6,40.0,2.75,27.0,3.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,4.5,1.0,0.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carles Aleñá,ESP,DF,Getafe,La Liga,24,1998,23.5,44.0,1.87,30.0,2.0,1.0,2.0,9.0,0.0,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,32.5,124.0,3.82,81.0,34.0,3.0,5.0,1.0,0.0,17.0,0.52,14.0,2.0,1.0,0.0,0.0,0.0
Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,12.6,16.0,1.27,13.0,0.0,1.0,2.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Mohamed Ali Cho,FRA,FW,Real Sociedad,La Liga,18,2004,6.5,19.0,2.9,12.0,1.0,2.0,2.0,1.0,1.0,2.0,0.31,2.0,0.0,0.0,0.0,0.0,0.0
Faride Alidou,GER,MF,Eint Frankfurt,Bundesliga,21,2001,2.0,8.0,3.87,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.48,1.0,0.0,0.0,0.0,0.0,0.0
Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0
Jim Allevinah,GAB,MF,Clermont Foot,Ligue 1,27,1995,24.9,48.0,1.93,39.0,1.0,3.0,2.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0
Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,91.0,3.22,67.0,17.0,1.0,1.0,2.0,3.0,5.0,0.18,3.0,2.0,0.0,0.0,0.0,0.0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,87.0,3.14,63.0,2.0,10.0,9.0,3.0,0.0,13.0,0.47,5.0,1.0,5.0,2.0,0.0,0.0
Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,14.0,1.08,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,19.0,1.25,15.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Éder Álvarez Balanta,COL,FW,Schalke 04,Bundesliga,29,1993,2.6,8.0,3.03,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.38,1.0,0.0,0.0,0.0,0.0,0.0
Carlos Álvarez,ESP,FW,Sevilla,La Liga,18,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,16.0,0.96,9.0,5.0,0.0,1.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Julián Álvarez,ARG,FW,Manchester City,Premier League,22,2000,16.3,52.0,3.2,39.0,0.0,6.0,5.0,2.0,0.0,5.0,0.31,2.0,0.0,1.0,1.0,1.0,0.0
Agustín Álvarez Martínez,URU,FW,Sassuolo,Serie A,21,2001,4.1,9.0,2.2,3.0,0.0,2.0,3.0,1.0,0.0,2.0,0.49,1.0,0.0,0.0,1.0,0.0,0.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,28.0,1.08,24.0,1.0,0.0,1.0,1.0,1.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,29,1993,4.7,3.0,0.64,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Selim Amallah,MAR,MF,Valladolid,La Liga,25,1996,3.0,11.0,3.69,5.0,0.0,4.0,0.0,0.0,2.0,2.0,0.67,1.0,0.0,1.0,0.0,0.0,0.0
Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,15.0,0.84,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Amath,SEN,FW,Mallorca,La Liga,26,1996,13.6,24.0,1.76,11.0,0.0,5.0,4.0,3.0,1.0,3.0,0.22,1.0,0.0,1.0,0.0,1.0,0.0
Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,2.0,0.9,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0
Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.3,45.0,1.71,34.0,3.0,2.0,4.0,0.0,2.0,3.0,0.11,1.0,0.0,0.0,2.0,0.0,0.0
Bruno Amione,ARG,DF,Hellas Verona,Serie A,20,2002,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Amione,ARG,DF,Sampdoria,Serie A,20,2002,23.2,12.0,0.52,6.0,1.0,0.0,4.0,1.0,0.0,2.0,0.09,1.0,0.0,0.0,1.0,0.0,0.0
