player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Martin Adeline,FRA,DF,Reims,Ligue 1,18,2003,1.2,29.0,41.0,70.7,390.0,93.0,12.0,18.0,66.7,11.0,14.0,78.6,1.0,3.0,33.3,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Karim Adeyemi,GER,FW,Dortmund,Bundesliga,20,2002,15.4,335.0,457.0,73.3,4409.0,1278.0,197.0,243.0,81.1,97.0,125.0,77.6,13.0,27.0,48.1,5,3.7,3.7,1.3,28.0,17.0,25.0,0.0,47.0
Amine Adli,FRA,FW,Leverkusen,Bundesliga,22,2000,15.9,427.0,565.0,75.6,5845.0,1373.0,240.0,296.0,81.1,138.0,166.0,83.1,18.0,34.0,52.9,3,1.7,1.9,1.3,20.0,26.0,10.0,0.0,49.0
Yacine Adli,FRA,MF,Milan,Serie A,22,2000,1.6,49.0,76.0,64.5,931.0,308.0,21.0,28.0,75.0,17.0,24.0,70.8,9.0,16.0,56.3,0,0.3,0.2,-0.3,2.0,6.0,2.0,0.0,10.0
Michel Aebischer,SUI,MF,Bologna,Serie A,25,1997,17.1,557.0,674.0,82.6,8050.0,2143.0,312.0,343.0,91.0,189.0,223.0,84.8,27.0,51.0,52.9,0,0.6,0.5,-0.6,15.0,37.0,7.0,1.0,46.0
Felix Afena-Gyan,GHA,FW,Cremonese,Serie A,19,2003,9.1,146.0,193.0,75.6,1855.0,194.0,99.0,115.0,86.1,34.0,46.0,73.9,4.0,7.0,57.1,0,0.1,0.2,-0.1,3.0,3.0,0.0,0.0,8.0
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,1281.0,1493.0,85.8,27077.0,9413.0,360.0,413.0,87.2,705.0,764.0,92.3,202.0,284.0,71.1,3,2.4,1.7,0.6,13.0,112.0,15.0,1.0,131.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,171.0,241.0,71.0,4890.0,3600.0,29.0,29.0,100.0,91.0,94.0,96.8,51.0,118.0,43.2,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,619.0,744.0,83.2,10977.0,3466.0,254.0,295.0,86.1,285.0,322.0,88.5,60.0,89.0,67.4,1,1.1,1.0,-0.1,12.0,62.0,15.0,2.0,93.0
Felix Agu,GER,DF,Werder Bremen,Bundesliga,22,1999,0.5,16.0,25.0,64.0,299.0,144.0,4.0,5.0,80.0,9.0,10.0,90.0,2.0,6.0,33.3,0,0.1,0.1,-0.1,1.0,1.0,1.0,0.0,2.0
Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,930.0,1142.0,81.4,18906.0,5096.0,359.0,404.0,88.9,371.0,429.0,86.5,174.0,246.0,70.7,2,2.2,2.0,-0.2,35.0,111.0,11.0,2.0,139.0
Kevin Agudelo,COL,FW,Spezia,Serie A,23,1998,23.7,531.0,735.0,72.2,7885.0,2631.0,295.0,349.0,84.5,173.0,226.0,76.5,30.0,54.0,55.6,1,3.0,2.6,-2.0,28.0,58.0,31.0,2.0,110.0
Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,599.0,763.0,78.5,12203.0,5332.0,224.0,244.0,91.8,287.0,335.0,85.7,82.0,169.0,48.5,0,0.5,0.3,-0.5,6.0,37.0,4.0,0.0,25.0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,696.0,847.0,82.2,10933.0,4515.0,352.0,394.0,89.3,291.0,343.0,84.8,36.0,68.0,52.9,0,0.9,1.2,-0.9,3.0,72.0,11.0,5.0,102.0
Naouirou Ahamada,FRA,MF,Crystal Palace,Premier League,20,2002,1.0,37.0,46.0,80.4,550.0,179.0,19.0,23.0,82.6,15.0,17.0,88.2,1.0,3.0,33.3,0,0.1,0.0,-0.1,1.0,3.0,0.0,0.0,2.0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,15.5,449.0,529.0,84.9,6965.0,1651.0,223.0,242.0,92.1,187.0,204.0,91.7,21.0,40.0,52.5,2,1.2,0.9,0.8,15.0,38.0,7.0,2.0,56.0
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,6.0,10.0,60.0,79.0,18.0,3.0,5.0,60.0,2.0,4.0,50.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,447.0,592.0,75.5,7451.0,2109.0,207.0,255.0,81.2,179.0,230.0,77.8,38.0,68.0,55.9,1,0.9,1.3,0.1,9.0,53.0,11.0,1.0,50.0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,1525.0,1766.0,86.4,31337.0,9650.0,383.0,439.0,87.2,974.0,1050.0,92.8,163.0,244.0,66.8,0,0.1,0.3,-0.1,2.0,83.0,4.0,0.0,95.0
Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,402.0,544.0,73.9,6725.0,2554.0,210.0,232.0,90.5,130.0,173.0,75.1,48.0,93.0,51.6,1,2.1,1.9,-1.1,12.0,35.0,14.0,9.0,43.0
Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,470.0,578.0,81.3,7079.0,2353.0,268.0,300.0,89.3,169.0,205.0,82.4,20.0,32.0,62.5,0,1.0,0.9,-1.0,7.0,29.0,14.0,5.0,43.0
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,646.0,817.0,79.1,10819.0,3713.0,297.0,332.0,89.5,294.0,349.0,84.2,40.0,97.0,41.2,0,0.4,0.8,-0.4,4.0,48.0,7.0,1.0,46.0
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,259.0,345.0,75.1,4480.0,1887.0,131.0,159.0,82.4,102.0,128.0,79.7,23.0,40.0,57.5,0,0.0,0.1,0.0,1.0,20.0,3.0,1.0,31.0
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,8.6,178.0,255.0,69.8,2614.0,397.0,103.0,137.0,75.2,55.0,79.0,69.6,11.0,16.0,68.8,0,0.9,0.8,-0.9,10.0,10.0,6.0,0.0,13.0
