player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Yassine Bounou,MAR,GK,Sevilla,La Liga,31,1991,23.9,717.0,949.0,75.6,18725.0,13212.0,155.0,155.0,100.0,341.0,349.0,97.7,219.0,440.0,49.8,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
Ismaëlben Boura,FRA,DF,Lens,Ligue 1,21,2000,1.0,47.0,64.0,73.4,670.0,236.0,27.0,34.0,79.4,18.0,21.0,85.7,1.0,5.0,20.0,0,0.2,0.5,-0.2,1.0,2.0,2.0,0.0,6.0
Mehdi Bourabia,MAR,MF,Spezia,Serie A,30,1991,30.8,981.0,1282.0,76.5,15009.0,4832.0,509.0,595.0,85.5,365.0,446.0,81.8,64.0,133.0,48.1,3,4.4,3.4,-1.4,37.0,94.0,32.0,10.0,113.0
Benjamin Bourigeaud,FRA,MF,Rennes,Ligue 1,28,1994,34.1,1505.0,2007.0,75.0,28664.0,9729.0,576.0,692.0,83.2,682.0,843.0,80.9,207.0,382.0,54.2,10,11.6,10.3,-1.6,98.0,183.0,96.0,19.0,264.0
Edoardo Bove,ITA,MF,Roma,Serie A,20,2002,11.0,309.0,406.0,76.1,4427.0,1026.0,168.0,201.0,83.6,110.0,139.0,79.1,13.0,30.0,43.3,0,0.9,0.7,-0.9,7.0,20.0,6.0,0.0,33.0
Jarrod Bowen,ENG,FW,West Ham,Premier League,25,1996,35.9,552.0,881.0,62.7,8725.0,2552.0,312.0,385.0,81.0,170.0,225.0,75.6,52.0,164.0,31.7,5,7.4,6.0,-2.4,48.0,39.0,24.0,9.0,72.0
Lucas Boyé,ARG,FW,Elche,La Liga,26,1996,27.4,510.0,650.0,78.5,7080.0,1364.0,292.0,338.0,86.4,140.0,169.0,82.8,32.0,39.0,82.1,2,2.9,1.6,-0.9,29.0,35.0,22.0,5.0,63.0
Jayden Braaf,NED,FW,Hellas Verona,Serie A,19,2002,3.2,60.0,78.0,76.9,849.0,192.0,41.0,44.0,93.2,13.0,17.0,76.5,4.0,6.0,66.7,0,0.1,0.1,-0.1,2.0,5.0,0.0,0.0,5.0
Domagoj Bradarić,CRO,DF,Salernitana,Serie A,22,1999,25.0,857.0,1155.0,74.2,13414.0,4480.0,462.0,535.0,86.4,315.0,414.0,76.1,55.0,144.0,38.2,3,2.3,1.5,0.7,17.0,40.0,17.0,9.0,52.0
Bilal Brahimi,ALG,FW,Nice,Ligue 1,22,2000,8.9,280.0,389.0,72.0,4139.0,916.0,145.0,169.0,85.8,95.0,127.0,74.8,17.0,46.0,37.0,2,1.7,1.5,0.3,17.0,11.0,15.0,12.0,16.0
Martin Braithwaite,DEN,FW,Espanyol,La Liga,31,1991,27.3,294.0,446.0,65.9,4173.0,986.0,183.0,242.0,75.6,74.0,112.0,66.1,19.0,30.0,63.3,2,1.4,1.1,0.6,12.0,26.0,13.0,2.0,54.0
Juan Brandáriz,ESP,DF,Almería,La Liga,23,1999,16.5,664.0,806.0,82.4,11229.0,4521.0,313.0,339.0,92.3,291.0,335.0,86.9,47.0,96.0,49.0,0,0.1,0.2,-0.1,2.0,35.0,3.0,2.0,32.0
Julian Brandt,GER,MF,Dortmund,Bundesliga,26,1996,26.6,1053.0,1368.0,77.0,16552.0,4185.0,583.0,662.0,88.1,284.0,368.0,77.2,120.0,204.0,58.8,8,9.2,7.8,-1.2,73.0,60.0,40.0,9.0,119.0
Darko Brašanac,SRB,MF,Osasuna,La Liga,30,1992,11.6,306.0,376.0,81.4,4620.0,1215.0,162.0,179.0,90.5,118.0,143.0,82.5,11.0,19.0,57.9,1,0.7,0.6,0.3,7.0,40.0,7.0,2.0,49.0
Lilian Brassier,FRA,DF,Brest,Ligue 1,22,1999,34.4,1257.0,1634.0,76.9,26597.0,11728.0,399.0,457.0,87.3,637.0,741.0,86.0,203.0,382.0,53.1,0,0.9,1.4,-0.9,7.0,98.0,15.0,7.0,111.0
Claudio Bravo,CHI,GK,Betis,La Liga,39,1983,12.0,232.0,392.0,59.2,7419.0,5674.0,44.0,44.0,100.0,89.0,91.0,97.8,96.0,251.0,38.2,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,27,1995,15.0,510.0,595.0,85.7,12242.0,7412.0,114.0,114.0,100.0,278.0,280.0,99.3,117.0,199.0,58.8,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
James Bree,ENG,DF,Southampton,Premier League,24,1997,4.1,133.0,178.0,74.7,1971.0,741.0,75.0,92.0,81.5,43.0,56.0,76.8,8.0,16.0,50.0,0,0.2,0.2,-0.2,4.0,5.0,5.0,4.0,5.0
Josip Brekalo,CRO,FW,Fiorentina,Serie A,24,1998,2.5,76.0,100.0,76.0,1424.0,365.0,28.0,33.0,84.8,33.0,41.0,80.5,13.0,18.0,72.2,0,0.5,0.5,-0.5,8.0,7.0,11.0,3.0,18.0
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,24,1998,3.0,103.0,148.0,69.6,1684.0,475.0,57.0,65.0,87.7,31.0,41.0,75.6,11.0,20.0,55.0,1,0.4,0.4,0.6,5.0,10.0,4.0,0.0,13.0
Gleison Bremer,BRA,DF,Juventus,Serie A,25,1997,29.3,1503.0,1668.0,90.1,29183.0,9314.0,501.0,541.0,92.6,832.0,880.0,94.5,160.0,217.0,73.7,1,1.7,0.6,-0.7,9.0,38.0,1.0,0.0,54.0
Armando Broja,ALB,FW,Chelsea,Premier League,20,2001,3.3,33.0,53.0,62.3,466.0,54.0,21.0,33.0,63.6,9.0,15.0,60.0,2.0,3.0,66.7,0,0.1,0.1,-0.1,1.0,1.0,1.0,0.0,4.0
Dylan Bronn,TUN,DF,Salernitana,Serie A,27,1995,18.7,855.0,1007.0,84.9,15486.0,6081.0,355.0,387.0,91.7,407.0,443.0,91.9,82.0,137.0,59.9,0,0.4,0.8,-0.4,5.0,62.0,4.0,1.0,70.0
David Brooks,WAL,MF,Bournemouth,Premier League,25,1997,1.9,46.0,63.0,73.0,640.0,140.0,30.0,32.0,93.8,13.0,16.0,81.3,2.0,9.0,22.2,0,0.2,0.2,-0.2,2.0,4.0,1.0,0.0,11.0
John Brooks,USA,DF,Hoffenheim,Bundesliga,29,1993,15.0,624.0,773.0,80.7,12417.0,4919.0,217.0,241.0,90.0,323.0,370.0,87.3,78.0,141.0,55.3,0,0.0,0.1,0.0,0.0,25.0,1.0,0.0,40.0
Moritz Broschinski,GER,FW,Bochum,Bundesliga,21,2000,2.4,29.0,50.0,58.0,423.0,74.0,20.0,30.0,66.7,7.0,11.0,63.6,2.0,3.0,66.7,0,0.0,0.1,0.0,1.0,2.0,0.0,0.0,3.0
Marcelo Brozović,CRO,MF,Inter,Serie A,29,1992,19.7,1318.0,1502.0,87.7,23163.0,6319.0,585.0,621.0,94.2,591.0,648.0,91.2,114.0,176.0,64.8,5,2.8,1.8,2.2,23.0,102.0,18.0,5.0,114.0
Cédric Brunner,SUI,DF,Schalke 04,Bundesliga,28,1994,25.7,779.0,1158.0,67.3,14299.0,6288.0,317.0,373.0,85.0,368.0,510.0,72.2,86.0,221.0,38.9,0,1.5,2.2,-1.5,20.0,46.0,26.0,18.0,77.0
Lewis Brunt,ENG,DF,Leicester City,Premier League,21,2000,0.3,17.0,21.0,81.0,283.0,57.0,7.0,8.0,87.5,10.0,11.0,90.9,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Bruun Larsen,DEN,FW,Hoffenheim,Bundesliga,23,1998,3.6,62.0,88.0,70.5,807.0,152.0,42.0,55.0,76.4,16.0,20.0,80.0,1.0,5.0,20.0,0,0.4,0.4,-0.4,7.0,5.0,2.0,0.0,4.0
Andreas Bruus,DEN,DF,Troyes,Ligue 1,23,1999,18.1,445.0,637.0,69.9,7410.0,2626.0,219.0,277.0,79.1,171.0,236.0,72.5,40.0,88.0,45.5,2,1.7,1.8,0.3,21.0,24.0,18.0,10.0,41.0
Bryan,ESP,FW,Tottenham,Premier League,21,2001,1.6,47.0,60.0,78.3,638.0,92.0,26.0,32.0,81.3,14.0,16.0,87.5,2.0,4.0,50.0,1,0.2,0.1,0.8,2.0,3.0,2.0,0.0,5.0
Bryan,ESP,FW,Sevilla,La Liga,21,2001,10.2,284.0,374.0,75.9,3630.0,945.0,182.0,201.0,90.5,88.0,114.0,77.2,3.0,22.0,13.6,2,0.7,0.7,1.3,8.0,10.0,10.0,3.0,22.0
Joe Bryan,ENG,DF,Nice,Ligue 1,28,1993,2.0,80.0,101.0,79.2,1121.0,455.0,52.0,59.0,88.1,25.0,29.0,86.2,2.0,6.0,33.3,0,0.0,0.1,0.0,1.0,2.0,3.0,0.0,8.0
Lee Buchanan,ENG,DF,Werder Bremen,Bundesliga,21,2001,5.2,179.0,267.0,67.0,3373.0,1351.0,74.0,93.0,79.6,77.0,107.0,72.0,26.0,61.0,42.6,0,0.8,0.6,-0.8,5.0,16.0,5.0,2.0,21.0
Ante Budimir,CRO,FW,Osasuna,La Liga,31,1991,20.0,194.0,315.0,61.6,2324.0,372.0,123.0,172.0,71.5,55.0,97.0,56.7,1.0,7.0,14.3,0,0.7,0.6,-0.7,10.0,13.0,3.0,0.0,23.0
Emi Buendía,ARG,MF,Aston Villa,Premier League,25,1996,26.8,787.0,1020.0,77.2,12082.0,3091.0,434.0,513.0,84.6,255.0,323.0,78.9,63.0,90.0,70.0,2,5.7,4.2,-3.7,41.0,84.0,41.0,0.0,138.0
Hugo Bueno,ESP,DF,Wolves,Premier League,19,2002,14.6,547.0,679.0,80.6,7697.0,2227.0,340.0,369.0,92.1,174.0,214.0,81.3,19.0,54.0,35.2,1,1.3,1.0,-0.3,16.0,24.0,10.0,6.0,39.0
Santiago Bueno,URU,DF,Girona,La Liga,23,1998,33.4,1576.0,1823.0,86.5,31141.0,10648.0,509.0,557.0,91.4,875.0,940.0,93.1,173.0,279.0,62.0,1,1.1,0.7,-0.1,9.0,148.0,5.0,1.0,148.0
Adam Buksa,POL,FW,Lens,Ligue 1,26,1996,1.1,15.0,24.0,62.5,245.0,53.0,7.0,11.0,63.6,7.0,9.0,77.8,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0
Marius Bülter,GER,MF,Schalke 04,Bundesliga,29,1993,28.9,439.0,762.0,57.6,6844.0,2502.0,258.0,332.0,77.7,127.0,230.0,55.2,37.0,94.0,39.4,1,4.6,4.6,-3.6,39.0,42.0,44.0,23.0,86.0
Cristian Buonaiuto,ITA,FW,Cremonese,Serie A,29,1992,10.9,304.0,465.0,65.4,4751.0,1632.0,159.0,191.0,83.2,100.0,148.0,67.6,27.0,84.0,32.1,0,1.8,1.7,-1.8,17.0,31.0,15.0,4.0,39.0
Facundo Buonanotte,ARG,MF,Brighton,Premier League,17,2004,6.3,157.0,194.0,80.9,2407.0,525.0,101.0,114.0,88.6,36.0,46.0,78.3,17.0,21.0,81.0,1,0.5,0.4,0.5,6.0,9.0,10.0,2.0,13.0
Alessandro Buongiorno,ITA,DF,Torino,Serie A,23,1999,30.2,1332.0,1573.0,84.7,22243.0,6857.0,578.0,643.0,89.9,671.0,750.0,89.5,57.0,113.0,50.4,2,1.3,1.0,0.7,8.0,70.0,5.0,3.0,81.0
Delano Burgzorg,NED,FW,Mainz 05,Bundesliga,23,1998,2.7,40.0,55.0,72.7,473.0,76.0,28.0,34.0,82.4,7.0,7.0,100.0,1.0,2.0,50.0,1,0.1,0.2,0.9,1.0,1.0,2.0,0.0,4.0
Jonathan Burkardt,GER,FW,Mainz 05,Bundesliga,22,2000,5.9,71.0,109.0,65.1,1119.0,317.0,37.0,46.0,80.4,23.0,32.0,71.9,8.0,14.0,57.1,2,1.1,1.6,0.9,7.0,3.0,9.0,2.0,14.0
Oliver Burke,SCO,MF,Werder Bremen,Bundesliga,25,1997,3.0,53.0,81.0,65.4,655.0,185.0,32.0,50.0,64.0,15.0,18.0,83.3,1.0,4.0,25.0,0,0.3,0.1,-0.3,4.0,4.0,3.0,0.0,7.0
Dan Burn,ENG,DF,Newcastle Utd,Premier League,30,1992,34.6,1361.0,1715.0,79.4,22235.0,8853.0,673.0,765.0,88.0,566.0,682.0,83.0,94.0,183.0,51.4,0,1.3,1.3,-1.3,16.0,102.0,11.0,2.0,118.0
Maxime Busi,BEL,DF,Reims,Ligue 1,22,1999,11.6,464.0,614.0,75.6,8573.0,2893.0,197.0,242.0,81.4,200.0,249.0,80.3,58.0,98.0,59.2,1,0.7,0.7,0.3,7.0,39.0,13.0,7.0,57.0
Sergio Busquets,ESP,MF,Barcelona,La Liga,34,1988,26.0,1722.0,1949.0,88.4,30610.0,9017.0,756.0,825.0,91.6,745.0,822.0,90.6,183.0,222.0,82.4,4,2.8,3.7,1.2,25.0,230.0,33.0,3.0,254.0
Aurélio Buta,POR,DF,Eint Frankfurt,Bundesliga,25,1997,14.6,576.0,764.0,75.4,8658.0,2874.0,333.0,391.0,85.2,201.0,264.0,76.1,29.0,62.0,46.8,2,3.3,2.3,-1.3,18.0,35.0,20.0,12.0,47.0
Leonardo Buta,POR,DF,Udinese,Serie A,20,2002,0.2,10.0,13.0,76.9,166.0,54.0,6.0,6.0,100.0,3.0,5.0,60.0,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Marcin Bułka,POL,GK,Nice,Ligue 1,22,1999,2.0,54.0,67.0,80.6,1465.0,1156.0,9.0,9.0,100.0,32.0,33.0,97.0,13.0,25.0,52.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Bynoe-Gittens,ENG,MF,Dortmund,Bundesliga,17,2004,5.9,104.0,142.0,73.2,1235.0,328.0,72.0,90.0,80.0,20.0,28.0,71.4,2.0,9.0,22.2,1,0.7,1.0,0.3,2.0,9.0,5.0,0.0,9.0
Juan Cabal,COL,DF,Hellas Verona,Serie A,21,2001,4.9,166.0,223.0,74.4,3165.0,1118.0,63.0,73.0,86.3,79.0,91.0,86.8,20.0,46.0,43.5,0,0.3,0.1,-0.3,2.0,15.0,3.0,2.0,17.0
Rémy Cabella,FRA,FW,Lille,Ligue 1,32,1990,28.1,1397.0,1764.0,79.2,20670.0,6850.0,753.0,851.0,88.5,464.0,583.0,79.6,88.0,171.0,51.5,10,10.7,12.1,-0.7,100.0,153.0,76.0,12.0,230.0
Jimmy Cabot,FRA,DF,Lens,Ligue 1,28,1994,5.7,261.0,346.0,75.4,4629.0,1527.0,123.0,137.0,89.8,102.0,130.0,78.5,32.0,68.0,47.1,1,2.1,2.0,-1.1,17.0,19.0,13.0,4.0,29.0
Leandro Cabrera,URU,DF,Espanyol,La Liga,31,1991,29.7,959.0,1343.0,71.4,19673.0,9222.0,307.0,368.0,83.4,502.0,614.0,81.8,137.0,314.0,43.6,1,1.5,1.3,-0.5,14.0,87.0,12.0,4.0,95.0
Liberato Cacace,NZL,DF,Empoli,Serie A,21,2000,6.5,338.0,424.0,79.7,5441.0,1880.0,169.0,188.0,89.9,143.0,173.0,82.7,20.0,42.0,47.6,0,0.6,0.7,-0.6,8.0,24.0,1.0,1.0,41.0
Anthony Caci,FRA,DF,Mainz 05,Bundesliga,25,1997,22.6,815.0,1140.0,71.5,16732.0,7645.0,304.0,360.0,84.4,341.0,461.0,74.0,150.0,262.0,57.3,1,2.6,2.3,-1.6,21.0,85.0,29.0,15.0,90.0
Cafú,POR,MF,Nott'ham Forest,Premier League,29,1993,0.1,2.0,2.0,100.0,45.0,41.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Moisés Caicedo,ECU,MF,Brighton,Premier League,20,2001,34.9,1993.0,2251.0,88.5,30177.0,8036.0,1112.0,1202.0,92.5,683.0,755.0,90.5,126.0,159.0,79.2,1,2.7,2.5,-1.7,43.0,181.0,35.0,7.0,219.0
Tom Cairney,SCO,MF,Fulham,Premier League,31,1991,11.0,632.0,750.0,84.3,10133.0,2428.0,326.0,352.0,92.6,230.0,264.0,87.1,51.0,84.0,60.7,0,1.4,1.5,-1.4,12.0,70.0,19.0,5.0,92.0
Jens Cajuste,SWE,MF,Reims,Ligue 1,22,1999,17.0,606.0,739.0,82.0,11081.0,3065.0,251.0,297.0,84.5,266.0,312.0,85.3,72.0,98.0,73.5,1,1.2,0.9,-0.2,16.0,66.0,15.0,0.0,109.0
Cala,ESP,DF,Cádiz,La Liga,32,1989,1.5,30.0,38.0,78.9,792.0,274.0,4.0,5.0,80.0,14.0,17.0,82.4,12.0,16.0,75.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Davide Calabria,ITA,DF,Milan,Serie A,25,1996,18.8,1040.0,1276.0,81.5,17672.0,5902.0,484.0,518.0,93.4,452.0,524.0,86.3,88.0,187.0,47.1,4,1.7,1.6,2.3,19.0,71.0,19.0,12.0,108.0
Mattia Caldara,ITA,DF,Spezia,Serie A,28,1994,13.9,461.0,600.0,76.8,8308.0,3214.0,183.0,220.0,83.2,223.0,270.0,82.6,45.0,93.0,48.4,0,0.0,0.1,0.0,1.0,23.0,1.0,0.0,35.0
Luca Caldirola,ITA,DF,Monza,Serie A,31,1991,26.1,1262.0,1435.0,87.9,22342.0,8287.0,534.0,555.0,96.2,592.0,653.0,90.7,109.0,179.0,60.9,0,0.5,0.3,-0.5,4.0,55.0,4.0,1.0,63.0
Fernando Calero,ESP,DF,Espanyol,La Liga,26,1995,17.9,617.0,765.0,80.7,11710.0,4547.0,245.0,275.0,89.1,289.0,335.0,86.3,78.0,139.0,56.1,1,0.6,0.4,0.4,4.0,58.0,3.0,0.0,64.0
Duje Ćaleta-Car,CRO,DF,Southampton,Premier League,25,1996,10.5,480.0,568.0,84.5,9398.0,3504.0,155.0,173.0,89.6,268.0,289.0,92.7,53.0,93.0,57.0,0,0.0,0.2,0.0,1.0,26.0,0.0,0.0,33.0
Duje Ćaleta-Car,CRO,DF,Marseille,Ligue 1,25,1996,0.1,2.0,2.0,100.0,46.0,16.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,28,1994,26.3,1396.0,1677.0,83.2,25576.0,7831.0,637.0,690.0,92.3,546.0,630.0,86.7,180.0,288.0,62.5,6,5.0,6.0,1.0,70.0,149.0,37.0,11.0,172.0
Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,19,2002,0.7,30.0,42.0,71.4,574.0,388.0,14.0,16.0,87.5,10.0,15.0,66.7,6.0,8.0,75.0,0,0.2,0.2,-0.2,3.0,0.0,2.0,1.0,3.0
Daniel Caligiuri,ITA,MF,Augsburg,Bundesliga,34,1988,3.2,107.0,166.0,64.5,1897.0,934.0,47.0,57.0,82.5,42.0,71.0,59.2,13.0,29.0,44.8,0,0.4,0.3,-0.4,4.0,10.0,4.0,0.0,16.0
Alexander Callens,PER,DF,Girona,La Liga,30,1992,1.3,78.0,93.0,83.9,1206.0,505.0,35.0,40.0,87.5,38.0,47.0,80.9,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,6.0
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,25,1997,12.9,131.0,221.0,59.3,1575.0,318.0,83.0,125.0,66.4,29.0,54.0,53.7,5.0,8.0,62.5,1,0.8,0.8,0.2,9.0,13.0,4.0,0.0,15.0
Mahdi Camara,FRA,MF,Brest,Ligue 1,24,1998,20.2,578.0,703.0,82.2,8665.0,2082.0,289.0,331.0,87.3,227.0,272.0,83.5,23.0,35.0,65.7,0,0.4,0.5,-0.4,9.0,53.0,7.0,1.0,80.0
Mohamed Camara,GUI,MF,Roma,Serie A,25,1997,7.7,252.0,323.0,78.0,4178.0,844.0,125.0,143.0,87.4,105.0,129.0,81.4,18.0,31.0,58.1,0,0.4,0.5,-0.4,3.0,27.0,3.0,1.0,30.0
Mohamed Camara,MLI,MF,Monaco,Ligue 1,22,2000,24.4,1119.0,1284.0,87.1,21268.0,5952.0,435.0,484.0,89.9,501.0,549.0,91.3,153.0,203.0,75.4,3,2.2,1.5,0.8,18.0,121.0,15.0,2.0,135.0
Ousmane Camara,GUI,FW,Auxerre,Ligue 1,20,2001,0.3,7.0,8.0,87.5,157.0,60.0,1.0,1.0,100.0,5.0,5.0,100.0,1.0,2.0,50.0,0,0.2,0.1,-0.2,1.0,1.0,1.0,1.0,2.0
Ousmane Camara,FRA,DF,Angers,Ligue 1,19,2003,5.8,330.0,363.0,90.9,6431.0,2134.0,105.0,112.0,93.8,179.0,190.0,94.2,39.0,49.0,79.6,0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,16.0
Eduardo Camavinga,FRA,MF,Real Madrid,La Liga,19,2002,22.3,1364.0,1504.0,90.7,21221.0,5654.0,711.0,763.0,93.2,517.0,548.0,94.3,89.0,112.0,79.5,1,1.5,2.2,-0.5,24.0,138.0,17.0,1.0,165.0
Nicolò Cambiaghi,ITA,MF,Empoli,Serie A,21,2000,14.3,321.0,432.0,74.3,4556.0,930.0,194.0,219.0,88.6,86.0,119.0,72.3,19.0,34.0,55.9,1,1.1,1.6,-0.1,15.0,19.0,18.0,5.0,42.0
Andrea Cambiaso,ITA,DF,Bologna,Serie A,22,2000,24.1,1277.0,1521.0,84.0,19674.0,6031.0,686.0,753.0,91.1,472.0,541.0,87.2,83.0,144.0,57.6,3,2.4,1.6,0.6,28.0,48.0,24.0,7.0,83.0
Axel Camblan,FRA,FW,Brest,Ligue 1,18,2003,0.8,19.0,27.0,70.4,196.0,46.0,13.0,15.0,86.7,3.0,5.0,60.0,0.0,2.0,0.0,0,0.1,0.1,-0.1,2.0,0.0,0.0,0.0,4.0
Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,21,2001,26.7,408.0,523.0,78.0,5782.0,733.0,235.0,285.0,82.5,126.0,156.0,80.8,20.0,28.0,71.4,5,2.4,1.7,2.6,28.0,15.0,13.0,0.0,42.0
Chem Campbell,WAL,MF,Wolves,Premier League,19,2002,0.8,23.0,32.0,71.9,344.0,64.0,10.0,11.0,90.9,13.0,14.0,92.9,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
Emre Can,GER,MF,Dortmund,Bundesliga,28,1994,21.1,1153.0,1288.0,89.5,20793.0,5986.0,446.0,483.0,92.3,545.0,586.0,93.0,122.0,158.0,77.2,1,1.3,1.4,-0.3,20.0,111.0,7.0,1.0,99.0
Sergio Canales,ESP,MF,Betis,La Liga,31,1991,26.7,1116.0,1474.0,75.7,16689.0,4491.0,623.0,697.0,89.4,319.0,407.0,78.4,99.0,211.0,46.9,3,5.9,5.1,-2.9,56.0,94.0,51.0,14.0,143.0
Matteo Cancellieri,ITA,FW,Lazio,Serie A,20,2002,2.8,61.0,87.0,70.1,757.0,98.0,44.0,50.0,88.0,15.0,25.0,60.0,0.0,5.0,0.0,0,0.4,0.3,-0.4,3.0,1.0,1.0,1.0,2.0
João Cancelo,POR,DF,Manchester City,Premier League,28,1994,14.2,1036.0,1220.0,84.9,16674.0,4147.0,578.0,621.0,93.1,363.0,430.0,84.4,81.0,123.0,65.9,1,0.9,1.5,0.1,12.0,80.0,36.0,9.0,106.0
João Cancelo,POR,DF,Bayern Munich,Bundesliga,28,1994,11.2,713.0,861.0,82.8,11505.0,3272.0,401.0,430.0,93.3,254.0,308.0,82.5,49.0,87.0,56.3,4,2.3,2.8,1.7,13.0,55.0,21.0,6.0,61.0
Antonio Candreva,ITA,MF,Salernitana,Serie A,35,1987,30.3,1165.0,1597.0,72.9,19672.0,6882.0,604.0,660.0,91.5,393.0,536.0,73.3,124.0,285.0,43.5,4,4.7,4.9,-0.7,57.0,98.0,55.0,30.0,135.0
Thomas Cannon,IRL,FW,Everton,Premier League,19,2002,0.3,4.0,5.0,80.0,37.0,0.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0,0.5,0.0,-0.5,1.0,0.0,0.0,0.0,0.0
Sergi Canós,ESP,FW,Brentford,Premier League,25,1997,0.9,23.0,43.0,53.5,268.0,76.0,14.0,18.0,77.8,4.0,15.0,26.7,1.0,2.0,50.0,0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0
Ander Capa,ESP,DF,Athletic Club,La Liga,30,1992,1.2,74.0,91.0,81.3,1275.0,441.0,31.0,35.0,88.6,30.0,37.0,81.1,8.0,12.0,66.7,0,0.0,0.1,0.0,1.0,5.0,2.0,1.0,12.0
Pierrick Capelle,FRA,MF,Angers,Ligue 1,35,1987,15.9,590.0,714.0,82.6,10044.0,2766.0,287.0,321.0,89.4,236.0,274.0,86.1,49.0,88.0,55.7,3,1.2,1.2,1.8,13.0,58.0,7.0,5.0,66.0
Étienne Capoue,FRA,MF,Villarreal,La Liga,34,1988,21.7,915.0,1043.0,87.7,14387.0,3476.0,469.0,516.0,90.9,362.0,393.0,92.1,52.0,78.0,66.7,0,1.1,1.0,-1.1,10.0,115.0,8.0,1.0,98.0
Gianluca Caprari,ITA,FW,Monza,Serie A,29,1993,27.1,853.0,1082.0,78.8,13026.0,2612.0,495.0,561.0,88.2,250.0,322.0,77.6,70.0,100.0,70.0,2,2.5,2.8,-0.5,29.0,56.0,30.0,4.0,92.0
Francesco Caputo,ITA,FW,Sampdoria,Serie A,34,1987,12.2,168.0,237.0,70.9,2130.0,315.0,96.0,130.0,73.8,43.0,60.0,71.7,8.0,10.0,80.0,0,0.5,0.6,-0.5,9.0,11.0,4.0,0.0,11.0
Francesco Caputo,ITA,FW,Empoli,Serie A,34,1987,19.0,235.0,332.0,70.8,2741.0,539.0,160.0,206.0,77.7,52.0,69.0,75.4,1.0,5.0,20.0,4,2.2,1.1,1.8,20.0,9.0,3.0,0.0,21.0
Maxence Caqueret,FRA,MF,Lyon,Ligue 1,22,2000,30.7,1480.0,1785.0,82.9,23941.0,7380.0,725.0,828.0,87.6,585.0,653.0,89.6,112.0,189.0,59.3,7,5.1,6.1,1.9,60.0,196.0,29.0,8.0,183.0
Andrea Carboni,ITA,DF,Monza,Serie A,21,2001,1.9,69.0,87.0,79.3,1170.0,558.0,33.0,38.0,86.8,29.0,31.0,93.5,7.0,14.0,50.0,0,0.1,0.3,-0.1,1.0,3.0,2.0,2.0,9.0
Franco Carboni,ITA,MF,Monza,Serie A,19,2003,0.7,33.0,50.0,66.0,529.0,140.0,19.0,20.0,95.0,12.0,15.0,80.0,2.0,5.0,40.0,0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0
Valentin Carboni,ARG,MF,Inter,Serie A,17,2005,0.3,12.0,17.0,70.6,192.0,12.0,5.0,7.0,71.4,4.0,6.0,66.7,2.0,2.0,100.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Isaac Carcelen,ESP,DF,Cádiz,La Liga,29,1993,24.4,747.0,961.0,77.7,12672.0,4769.0,358.0,396.0,90.4,308.0,394.0,78.2,64.0,124.0,51.6,1,1.3,1.8,-0.3,16.0,65.0,17.0,12.0,85.0
Irvin Cardona,FRA,FW,Brest,Ligue 1,24,1997,2.6,34.0,58.0,58.6,468.0,79.0,21.0,32.0,65.6,10.0,17.0,58.8,1.0,4.0,25.0,0,0.3,0.0,-0.3,3.0,2.0,0.0,0.0,4.0
